#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

PROVINCE_LOOTED_SETUP;Province Looted;;;;;;;;;;;;;x
PROVINCE_LOOTED_LOG;ßY$SETTLEMENTS$ß! Holdings in ßY$PROVINCE$ß! have been looted by ßY$LOOTER$ß!;;;;;;;;;;;;;x
STARTED_LOOTING_SETUP;Raiders Appear;;;;;;;;;;;;;x
STARTED_LOOTING_LOG;Raiders under ßY$RAIDER$ß! have arrived to loot and pillage in ßY$VICTIM$'sß! county of ßY$PROVINCE$ß!;;;;;;;;;;;;;x
STARTED_LOOTING_NAVAL_SETUP;Raiders Appear;;;;;;;;;;;;x
STARTED_LOOTING_NAVAL_LOG;The dragon bows of longships have been sighted off the coast of ßY$PROVINCE$ß! as raiders under the fierce ßY$RAIDER$ß! begin to pillage and loot the county!;;;;;;;;;;;;x
SETTLEMENT_LOOTED_SETUP;Holding Looted;;;;;;;;;;;;;x
viking;Raider;;;;;;;;;;;;;x
viking_desc;This character has earned a reputation as a fearsome raider.;;;;;;;;;;;;;x
scholar_desc;This character leads the life of a scholar, poring over books and corresponding with the finest minds of Cerilia.;;;;;;;;;;;;;x
dwarf;Short;;;;;;;;;;;;;x
dwarf_desc;This character is of short stature.;;;;;;;;;;;;;x
voice_of_satan;Voice in The Void;;;;;;;;;;;;;x
voice_of_satan_desc;There's a voice in the void whispering tp me and guiding me.;;;;;;;;;;;;;x
voice_of_jesus;Divine Voices;;;;;;;;;;;;;x
voice_of_jesus_desc;I hear the Divine Voices of the gods which guide me through this troubled times.;;;;;;;;;;;;;x
hedonist_desc;This character has chosen to lead a life of debauchery and sin. The Gods are unlikely to approve...;Ce personnage a optÅEpour une vie de dÈbauche et de pÈchÅE ce que les dieux dÈsapprouvent.;Dieser Charakter hat sich fÅE ein ausschweifendes und sÅEdiges Leben entschieden. Die Kirche wird ihm nicht wohlgesonnen sein ...;;Este personaje ha elegido llevar una vida de libertinaje y pecado. Es poco probable que la Iglesia lo acepte...;;;;;;;;;x
DIPLOFLAVOR_INSULT_0;Tales of your misdeeds are told from Aldrud to Besarif.;;;;;;;;;;;;;x
DIPLOFLAVOR_INSULT_1;Your low character is the subject of Vos plays.;;;;;;;;;;;;;x
MAPMODE_DYNASTY_DESC;This map mode shows the ruling dynasties of Cerilia.;;;;;;;;;;;;;x
MAPMODE_DUCHIES_DESC;This map mode shows all the geographical and traditional ('de jure') Duchies/Baronies/PettyKingdoms/Emirates of Cerilia.;;;;;;;;;;;;;x
MAPMODE_KINGDOMS_DESC;This map mode shows all the geographical and traditional ('de jure') Kingdoms/Archduchies/Sultanates of Cerilia.;;;;;;;;;;;;;x
MAPMODE_EMPIRES_DESC;This map mode shows all the geographical and traditional ('de jure') Kingdoms and Empires of Cerilia;;;;;;;;;;;;;x
opinion_granted_barony;Granted a Castle;A octroyÅEun ch‚teau;;;;;;;;;;;;x
b_newcastle;New Castle;Ch‚teauneuf;New Castle;New Castle;Castillonuevo;;;;;;;;;x
opinion_infidel;Foreign Religion;Religion ÈtrangËre;;;;;;;;;;;;x
NEW_DOGE_ELECTED_LOG;News from ßY$TITLE$ß!, ßY$NEW_DOGE$ß! has been elected the new $RULER_TITLE$ in the city's election.;News from ßY$TITLE$ß!, ßY$NEW_DOGE$ß! a ÈtÅEÈlu comme le nouveau $RULER_TITLE$ lors des Èlections de la citÅE;;;;;;;;;;;;x
insulted_realm_christians;Devotees of Nature in your Realm will be gravely insulted.;Les fidËles de Nature de votre royaume en seront grandement offensÈs.;;;;;;;;;;;;x
EVTDESC100244;If you do choose celibacy, you will have to fight temptations every day for the rest of your life. You will abstain from more pleasures than you know about now but the reward is greater than any pleasure. The love of [Root.Religion.GetRandomGodName] will help you hold your promise...'\n[From.GetTitledFirstName] was honest about celibacy and made me realize how important my decision is.;;;;;;;;;;;;;x
EVTDESC_SOA_3102;I have accepted your request of nomination for a Temple.;;;;;;;;;;;;;x
EVTDESC_SOA_3103;I have refused your request of nomination for a Temple.;;;;;;;;;;;;;x
DEATH_SACRIFICED;was offered up in sacrifice by $KILLER$;;;;;;;;;;;;;x
DEATH_SACRIFICED_NO_KILLER;was offered up in sacrifice;;;;;;;;;;;;;x
OPINION_OF_POPE;Opinion of Religious Head;;;;;;;;;;;;;x
BISHOP_LOYALTY_DESC;Priests are not obliged to pay any taxes - or provide levies - to their secular liege. They will pay the religious head or their secular liege depending on who they like best.;;;;;;;;;;;;;x
PREFERATI;Expected Successor;;;;;;;;;;;;x
PREFERATI_TOOLTIP;This is the member of the Imperial Temple that most expected to succeed the current Archprelate.;;;;;;;;;;;;;x
SHOW_COLLEGE_OF_CARDINALS;The Council of Electors;;;;;;;;;;;;;x
COLLEGE_OF_CARDINALS;The Council of Electors;;;;;;;;;;;;;x
CAMPAIGN_FUND_CARDINALS_DESC;Money in the Campaign Fund will increase your influence with the Archprelate and make your candidate more likely to be elected the next $RULER_TITLE$. You can freely adjust the amount until the next $RULER_TITLE$ is elected, when the Fund will be used up in the election campaign.;;;;;;;;;;;;;x
TITLE_GAINED_RELIGIOUS_PLAYER_SETUP;Your vassal was appointed to Council of Electors;;;;;;;;;;;;;x
TITLE_GAINED_RELIGIOUS_LETTER;$NEWHOLDER$ was given a seat in the Council of Electors.;;;;;;;;;;;;;x
TITLE_GAINED_RELIGIOUS_LOG;$NEWHOLDER$ was given a seat in the Council of Electors.;;;;;;;;;;;;;x
TITLE_GAINED_RELIGIOUS_PLAYER_LETTER;Your vassal $NEWHOLDER$ was given a seat in the Council of Electors.;;;;;;;;;;;;;x
TITLE_GAINED_RELIGIOUS_PLAYER_LOG;Your vassal $NEWHOLDER$ was given a seat in the Council of Electors.;;;;;;;;;;;;;x
title_cardinal;Prelate;;;;;;;;;;;;;x
title_cardinal_desc;Prelate;;;;;;;;;;;;;x
CHURCH_NAME;The $RELIGION$ Faith;La foi $RELIGION$;Der $RELIGION$-Glauben;;La Fe $RELIGION$;;;;;;;;;x
opinion_supported_cardinal;Supported Prelate Election;;;;;;;;;;;;x
opinion_supported_pope;Supported Prelate Election;;;;;;;;;;;;;x
asked_to_nominate_bishop;Asked to Nominate Priest;;;;;;;;;;;;;x
papal_succession;Imperial Temple Succession;;;;;;;;;;;;;x
succ_papal_succession;Imperial Temple Succession;;;;;;;;;;;;;x
succ_papal_succession_desc;The Archprelate is elected by the Council of Electors depending on age, prestige, popularity and other factors.;;;;;;;;;;;;;x
expected_next_title_cardinal;Expected Next Prelate;;;;;;;;;;;;;x
expected_next_title_cardinal_tooltip;This Priest is probably next in line to join the Council of Electors when a vacancy becomes available.;;;;;;;;;;;;;x
best_candidate_title_cardinal;My Best Prelate Candidate;;;;;;;;;;;;;x
best_candidate_title_cardinal_tooltip;Of all the Priests in my realm, this one is the likeliest to get appointed to the Council of Electors by the Archprelate.;;;;;;;;;;;;;x
CURRENT_CHOICE_DESC;This is the Council of Elector's current choice for the next Archprelate.;;;;;;;;;;;;;x
POPE;Archprelate;;;;;;;;;;;;;x
INTERACTION_REQUIRES_RELIGIOUS_INVESTITURE;Requires Priestly Investiture;;;;;;;;;;;;;x
NOMINATE_BISHOP_TO_POPE_INTERACTION_TITLE;Nominate Priest;;;;;;;;;;;;;x
NOMINATE_BISHOP_TO_POPE_INTERACTION_DESC;Ask ßY[Actor.RelHead.GetTitledFirstName]ßW to choose your selected courtier as the next Priest for one of your temples. But it will come at a cost.;;;;;;;;;;;;;x
NOMINATE_BISHOP_TO_POPE_INTERACTION_ACCEPT_SETUP;Request for Priestly Nomination Accepted;;;;;;;;;;;;;x
NOMINATE_BISHOP_TO_POPE_INTERACTION_ACCEPT_LOG;ßY[Actor.GetBestName]ßW nominated a Priest to ßY[Recipient.GetBestName]ßW;;;;;;;;;;;;;x
NOMINATE_BISHOP_TO_POPE_INTERACTION_DECLINE_SETUP;Request for Priestly Nomination Declined;;;;;;;;;;;;;x
NOMINATE_BISHOP_TO_POPE_INTERACTION_DECLINE_LOG;ßY[Actor.GetBestName]ßW nominated a Priest to ßY[Recipient.GetBestName]ßW;;;;;;;;;;;;;x
NOMINATE_BISHOP_TO_POPE_INTERACTION_OFFER;[Actor.GetBestName] has presented a nomination for Priest to us!;;;;;;;;;;;;;x
NOMINATE_BISHOP_TO_POPE_INTERACTION_LETTER;Please accept my nomination of this Priest.;;;;;;;;;;;;;x
ARRANGE_MARRIAGE_DESC;Arrange a marriage with one of the most eligible potential spouses in Cerilia.;Arrangez un mariage avec l'une des personnes les plus en vue de Cerilia.;Arrangiert eine Heirat mit einer der meistumworbenen unverheirateten Personen Cerilia.;;Concierta un matrimonio con uno de los cÛnyuges m·s aptos de Poniente.;;;;;;;;;x
