#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_aaldnjor;Aaldnjor;Aaldnjor;Aaldnjor;;Aaldnjor;;;;;;;;;x
c_aaldnjor_adj;Aaldnjorian;;aaldnjorer;;;;;;;;;;;x
c_aaldvaar;Aaldvaar;Aaldvaar;Aaldvaar;;Aaldvaar;;;;;;;;;x
c_aaldvaar_adj;Aaldvaarian;;aaldvaarer;;;;;;;;;;;x
c_aandjvor;Aandjvor;Aandjvor;Aandjvor;;Aandjvor;;;;;;;;;x
c_aandjvor_adj;Aandjvorian;;aandjvorer;;;;;;;;;;;x
c_abattoir;Abattoir;Abattoir;Abattoir;;Abattoir;;;;;;;;;x
c_abattoir_adj;Abattoirian;;abattoirer;;;;;;;;;;;x
c_abbatuor;Abbatuor;Abbatuor;Abbatuor;;Abbatuor;;;;;;;;;x
c_abbatuor_adj;Abbatuorian;;abbatuorer;;;;;;;;;;;x
c_abrskiy;Abrskiy;Abrskiy;Abrskiy;;Abrskiy;;;;;;;;;x
c_abrskiy_adj;Abrskiian;;abrskier;;;;;;;;;;;x
c_achiese;Achiese;Achiese;Achiese;;Achiese;;;;;;;;;x
c_achiese_adj;Achiesean;;achieser;;;;;;;;;;;x
c_adaba;Adaba;Adaba;Adaba;;Adaba;;;;;;;;;x
c_adaba_adj;Adaban;;adaber;;;;;;;;;;;x
c_adara;Adara;Adara;Adara;;Adara;;;;;;;;;x
c_adara_adj;Adaran;;adarer;;;;;;;;;;;x
c_adeid;Adeid;Adeid;Adeid;;Adeid;;;;;;;;;x
c_adeid_adj;Adeidian;;adeider;;;;;;;;;;;x
c_adler;Adler;Adler;Adler;;Adler;;;;;;;;;x
c_adler_adj;Adlerian;;adlerer;;;;;;;;;;;x
c_adoga;Adoga;Adoga;Adoga;;Adoga;;;;;;;;;x
c_adoga_adj;Adogan;;adoger;;;;;;;;;;;x
c_adothewr;Adothewr;Adothewr;Adothewr;;Adothewr;;;;;;;;;x
c_adothewr_adj;Adothewrian;;adothewrer;;;;;;;;;;;x
c_adwyth_tallagh;Adwyth Tallagh;Adwyth Tallagh;Adwyth Tallagh;;Adwyth Tallagh;;;;;;;;;x
c_adwyth_tallagh_adj;Adwyth Tallaghian;;Adwyth Tallagher;;;;;;;;;;;x
c_aenilien;Aenilien;Aenilien;Aenilien;;Aenilien;;;;;;;;;x
c_aenilien_adj;Aenilienian;;aeniliener;;;;;;;;;;;x
c_aerele;Aerele;Aerele;Aerele;;Aerele;;;;;;;;;x
c_aerele_adj;Aerelean;;aereler;;;;;;;;;;;x
c_aftane;Aftane;Aftane;Aftane;;Aftane;;;;;;;;;x
c_aftane_adj;Aftanean;;aftaner;;;;;;;;;;;x
c_aghedir;Aghedir;Aghedir;Aghedir;;Aghedir;;;;;;;;;x
c_aghedir_adj;Aghedirian;;aghedirer;;;;;;;;;;;x
c_agradil;Agradíl;Agradíl;Agradíl;;Agradíl;;;;;;;;;x
c_agradil_adj;Agradílian;;agradíler;;;;;;;;;;;x
c_akar_bluffs;Akar Bluffs;Akar Bluffs;Akar Bluffs;;Akar Bluffs;;;;;;;;;x
c_akar_bluffs_adj;Akar Bluffsian;;Akar Bluffser;;;;;;;;;;;x
c_akhada;Akhada;Akhada;Akhada;;Akhada;;;;;;;;;x
c_akhada_adj;Akhadan;;akhader;;;;;;;;;;;x
c_aktarsk;Aktarsk;Aktarsk;Aktarsk;;Aktarsk;;;;;;;;;x
c_aktarsk_adj;Aktarskian;;aktarsker;;;;;;;;;;;x
c_alamier;Alamier;Alamier;Alamier;;Alamier;;;;;;;;;x
c_alamier_adj;Alamierian;;alamierer;;;;;;;;;;;x
c_alamsreft;Alamsreft;Alamsreft;Alamsreft;;Alamsreft;;;;;;;;;x
c_alamsreft_adj;Alamsreftian;;alamsrefter;;;;;;;;;;;x
c_alarin;Alarin;Alarin;Alarin;;Alarin;;;;;;;;;x
c_alarin_adj;Alarinian;;alariner;;;;;;;;;;;x
c_alaroine;Alaroine;Alaroine;Alaroine;;Alaroine;;;;;;;;;x
c_alaroine_adj;Alaroinean;;alaroiner;;;;;;;;;;;x
c_albiele;Albiele;Albiele;Albiele;;Albiele;;;;;;;;;x
c_albiele_adj;Albielean;;albieler;;;;;;;;;;;x
c_alcamar;Alcamar;Alcamar;Alcamar;;Alcamar;;;;;;;;;x
c_alcamar_adj;Alcamarian;;alcamarer;;;;;;;;;;;x
c_aldrud;Aldrud;Aldrud;Aldrud;;Aldrud;;;;;;;;;x
c_aldrud_adj;Aldrudian;;aldruder;;;;;;;;;;;x
c_algael;Algael;Algael;Algael;;Algael;;;;;;;;;x
c_algael_adj;Algaelian;;algaeler;;;;;;;;;;;x
c_alhazir;Alhazír;Alhazír;Alhazír;;Alhazír;;;;;;;;;x
c_alhazir_adj;Alhazírian;;alhazírer;;;;;;;;;;;x
c_alklund;Alklund;Alklund;Alklund;;Alklund;;;;;;;;;x
c_alklund_adj;Alklundian;;alklunder;;;;;;;;;;;x
c_allaight;Allaight;Allaight;Allaight;;Allaight;;;;;;;;;x
c_allaight_adj;Allaightian;;allaighter;;;;;;;;;;;x
c_allesrecht;Allesrecht;Allesrecht;Allesrecht;;Allesrecht;;;;;;;;;x
c_allesrecht_adj;Allesrechtian;;allesrechter;;;;;;;;;;;x
c_almein;Almein;Almein;Almein;;Almein;;;;;;;;;x
c_almein_adj;Almeinian;;almeiner;;;;;;;;;;;x
c_almeysk;Almeysk;Almeysk;Almeysk;;Almeysk;;;;;;;;;x
c_almeysk_adj;Almeyskian;;almeysker;;;;;;;;;;;x
c_ambles_on_hillfair;Ambles-on-Hillfair;Ambles-on-Hillfair;Ambles-on-Hillfair;;Ambles-on-Hillfair;;;;;;;;;x
c_ambles_on_hillfair_adj;Ambles-on-Hillfairian;;ambles-on-hillfairer;;;;;;;;;;;x
c_amesyevo;Amesyevo;Amesyevo;Amesyevo;;Amesyevo;;;;;;;;;x
c_amesyevo_adj;Amesyevian;;amesyever;;;;;;;;;;;x
c_anathar;Anathar;Anathar;Anathar;;Anathar;;;;;;;;;x
c_anathar_adj;Anatharian;;anatharer;;;;;;;;;;;x
c_andujar;Andujar;Andujar;Andujar;;Andujar;;;;;;;;;x
c_andujar_adj;Andujarian;;andujarer;;;;;;;;;;;x
c_angar;Angar;Angar;Angar;;Angar;;;;;;;;;x
c_angar_adj;Angarian;;angarer;;;;;;;;;;;x
c_angarr;Angarr;Angarr;Angarr;;Angarr;;;;;;;;;x
c_angarr_adj;Angarrian;;angarrer;;;;;;;;;;;x
c_angbryn;Angbryn;Angbryn;Angbryn;;Angbryn;;;;;;;;;x
c_angbryn_adj;Angbrynian;;angbryner;;;;;;;;;;;x
c_anlersk;Anlersk;Anlersk;Anlersk;;Anlersk;;;;;;;;;x
c_anlersk_adj;Anlerskian;;anlersker;;;;;;;;;;;x
c_annydwr;Annydwr;Annydwr;Annydwr;;Annydwr;;;;;;;;;x
c_annydwr_adj;Annydwrian;;annydwrer;;;;;;;;;;;x
c_ansien;Ansien;Ansien;Ansien;;Ansien;;;;;;;;;x
c_ansien_adj;Ansienian;;ansiener;;;;;;;;;;;x
c_anuire_province;Anuire Province;Anuire Province;Anuire Province;;Anuire Province;;;;;;;;;x
c_anuire_province_adj;Anuire Provincean;;Anuire Provincer;;;;;;;;;;;x
c_anzlau;Anzlau;Anzlau;Anzlau;;Anzlau;;;;;;;;;x
c_anzlau_adj;Anzlian;;anzler;;;;;;;;;;;x
c_aqaba;Aqaba;Aqaba;Aqaba;;Aqaba;;;;;;;;;x
c_aqaba_adj;Aqaban;;aqaber;;;;;;;;;;;x
c_araba;Araba;Araba;Araba;;Araba;;;;;;;;;x
c_araba_adj;Araban;;araber;;;;;;;;;;;x
c_aral;Aral;Aral;Aral;;Aral;;;;;;;;;x
c_aral_adj;Aralian;;araler;;;;;;;;;;;x
c_ariya;Ariya;Ariya;Ariya;;Ariya;;;;;;;;;x
c_ariya_adj;Ariyan;;arer;;;;;;;;;;;x
c_arochlep;Arochlep;Arochlep;Arochlep;;Arochlep;;;;;;;;;x
c_arochlep_adj;Arochlepian;;arochleper;;;;;;;;;;;x
c_arrowsmith;Arrowsmith;Arrowsmith;Arrowsmith;;Arrowsmith;;;;;;;;;x
c_arrowsmith_adj;Arrowsmithian;;arrowsmither;;;;;;;;;;;x
c_arvaald;Arvaald;Arvaald;Arvaald;;Arvaald;;;;;;;;;x
c_arvaald_adj;Arvaaldian;;arvaalder;;;;;;;;;;;x
c_askarus;Askarus;Askarus;Askarus;;Askarus;;;;;;;;;x
c_askarus_adj;Askarusian;;askaruser;;;;;;;;;;;x
c_assarif;Assarif;Assarif;Assarif;;Assarif;;;;;;;;;x
c_assarif_adj;Assarifian;;assarifer;;;;;;;;;;;x
c_auchlaken;Auchlaken;Auchlaken;Auchlaken;;Auchlaken;;;;;;;;;x
c_auchlaken_adj;Auchlakenian;;auchlakener;;;;;;;;;;;x
c_auchsward;Auchsward;Auchsward;Auchsward;;Auchsward;;;;;;;;;x
c_auchsward_adj;Auchswardian;;auchswarder;;;;;;;;;;;x
c_auslauf;Auslauf;Auslauf;Auslauf;;Auslauf;;;;;;;;;x
c_auslauf_adj;Auslaufian;;auslaufer;;;;;;;;;;;x
c_avallaight;Avallaight;Avallaight;Avallaight;;Avallaight;;;;;;;;;x
c_avallaight_adj;Avallaightian;;avallaighter;;;;;;;;;;;x
c_avarien;Avarien;Avarien;Avarien;;Avarien;;;;;;;;;x
c_avarien_adj;Avarienian;;avariener;;;;;;;;;;;x
c_ayandir;Ayandir;Ayandir;Ayandir;;Ayandir;;;;;;;;;x
c_ayandir_adj;Ayandirian;;ayandirer;;;;;;;;;;;x
c_aykbun;Aykbun;Aykbun;Aykbun;;Aykbun;;;;;;;;;x
c_aykbun_adj;Aykbunian;;aykbuner;;;;;;;;;;;x
c_ayon;Ayon;Ayon;Ayon;;Ayon;;;;;;;;;x
c_ayon_adj;Ayonian;;ayoner;;;;;;;;;;;x
c_azada;Azada;Azada;Azada;;Azada;;;;;;;;;x
c_azada_adj;Azadan;;azader;;;;;;;;;;;x
c_azagkhul;Azagkhul;Azagkhul;Azagkhul;;Azagkhul;;;;;;;;;x
c_azagkhul_adj;Azagkhulian;;azagkhuler;;;;;;;;;;;x
c_azedas;Azédas;Azédas;Azédas;;Azédas;;;;;;;;;x
c_azedas_adj;Azédasian;;azédaser;;;;;;;;;;;x
c_bacaele;Bacaele;Bacaele;Bacaele;;Bacaele;;;;;;;;;x
c_bacaele_adj;Bacaelean;;bacaeler;;;;;;;;;;;x
c_baered;Baered;Baered;Baered;;Baered;;;;;;;;;x
c_baered_adj;Baeredian;;baereder;;;;;;;;;;;x
c_baerghos;Baerghos;Baerghos;Baerghos;;Baerghos;;;;;;;;;x
c_baerghos_adj;Baerghosian;;baerghoser;;;;;;;;;;;x
c_bagira;Bagira;Bagira;Bagira;;Bagira;;;;;;;;;x
c_bagira_adj;Bagiran;;bagirer;;;;;;;;;;;x
c_baikal;Baikal;Baikal;Baikal;;Baikal;;;;;;;;;x
c_baikal_adj;Baikalian;;baikaler;;;;;;;;;;;x
c_bair_el_tehara;Baïr el-Tehara;Baïr el-Tehara;Baïr el-Tehara;;Baïr el-Tehara;;;;;;;;;x
c_bair_el_tehara_adj;Baïr el-Teharan;;Baïr el-Teharer;;;;;;;;;;;x
c_baiyuda;Baiyuda;Baiyuda;Baiyuda;;Baiyuda;;;;;;;;;x
c_baiyuda_adj;Baiyudan;;baiyuder;;;;;;;;;;;x
c_balteruine;Balteruine;Balteruine;Balteruine;;Balteruine;;;;;;;;;x
c_balteruine_adj;Balteruinean;;balteruiner;;;;;;;;;;;x
c_baniens_deep;Banien's Deep;Banien's Deep;Banien's Deep;;Banien's Deep;;;;;;;;;x
c_baniens_deep_adj;Banien's Deepian;;Banien's Deeper;;;;;;;;;;;x
c_bannoch;Bannoch;Bannoch;Bannoch;;Bannoch;;;;;;;;;x
c_bannoch_adj;Bannochian;;bannocher;;;;;;;;;;;x
c_barein;Barein;Barein;Barein;;Barein;;;;;;;;;x
c_barein_adj;Bareinian;;bareiner;;;;;;;;;;;x
c_barniere;Barniere;Barniere;Barniere;;Barniere;;;;;;;;;x
c_barniere_adj;Barnierean;;barnierer;;;;;;;;;;;x
c_barrow_woods;Barrow Woods;Barrow Woods;Barrow Woods;;Barrow Woods;;;;;;;;;x
c_barrow_woods_adj;Barrow Woodsian;;Barrow Woodser;;;;;;;;;;;x
c_barserat;Barserat;Barserat;Barserat;;Barserat;;;;;;;;;x
c_barserat_adj;Barseratian;;barserater;;;;;;;;;;;x
c_batukhan;Batukhan;Batukhan;Batukhan;;Batukhan;;;;;;;;;x
c_batukhan_adj;Batukhanian;;batukhaner;;;;;;;;;;;x
c_bauth_ravad;Bauth Ravad;Bauth Ravad;Bauth Ravad;;Bauth Ravad;;;;;;;;;x
c_bauth_ravad_adj;Bauth Ravadian;;Bauth Ravader;;;;;;;;;;;x
c_bayside;Bayside;Bayside;Bayside;;Bayside;;;;;;;;;x
