#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_aaldvika;Aaldvika;Aaldvika;Aaldvika;;Aaldvika;;;;;;;;;x
d_aaldvika_adj;Aaldvikan;;aaldviker;;;;;;;;;;;x
d_adaba;Adaba;Adaba;Adaba;;Adaba;;;;;;;;;x
d_adaba_adj;Adaban;;adaber;;;;;;;;;;;x
d_adara;Adara;Adara;Adara;;Adara;;;;;;;;;x
d_adara_adj;Adaran;;adarer;;;;;;;;;;;x
d_adwyth_tallagh;Adwyth Tallagh;Adwyth Tallagh;Adwyth Tallagh;;Adwyth Tallagh;;;;;;;;;x
d_adwyth_tallagh_adj;Adwyth Tallaghian;;Adwyth Tallagher;;;;;;;;;;;x
d_aerenwe;Aerenwe;Aerenwe;Aerenwe;;Aerenwe;;;;;;;;;x
d_aerenwe_adj;Aerenwean;;aerenwer;;;;;;;;;;;x
d_aftane;Aftane;Aftane;Aftane;;Aftane;;;;;;;;;x
d_aftane_adj;Aftanean;;aftaner;;;;;;;;;;;x
d_akhada;Akhada;Akhada;Akhada;;Akhada;;;;;;;;;x
d_akhada_adj;Akhadan;;akhader;;;;;;;;;;;x
d_alamie;Alamie;Alamie;Alamie;;Alamie;;;;;;;;;x
d_alamie_adj;Alamiean;;alamer;;;;;;;;;;;x
d_alber;Alber;Alber;Alber;;Alber;;;;;;;;;x
d_alber_adj;Alberian;;alberer;;;;;;;;;;;x
d_albiele;Albiele;Albiele;Albiele;;Albiele;;;;;;;;;x
d_albiele_adj;Albielean;;albieler;;;;;;;;;;;x
d_andujar;Andujar;Andujar;Andujar;;Andujar;;;;;;;;;x
d_andujar_adj;Andujarian;;andujarer;;;;;;;;;;;x
d_archestueel;Archestüel;Archestüel;Archestüel;;Archestüel;;;;;;;;;x
d_archestueel_adj;Archestüelian;;archestüeler;;;;;;;;;;;x
d_ariya;Ariya;Ariya;Ariya;;Ariya;;;;;;;;;x
d_ariya_adj;Ariyan;;arer;;;;;;;;;;;x
d_askarus;Askarus;Askarus;Askarus;;Askarus;;;;;;;;;x
d_askarus_adj;Askarusian;;askaruser;;;;;;;;;;;x
d_avanil;Avanil;Avanil;Avanil;;Avanil;;;;;;;;;x
d_avanil_adj;Avanilian;;avaniler;;;;;;;;;;;x
d_baerghos;Baerghos;Baerghos;Baerghos;;Baerghos;;;;;;;;;x
d_baerghos_adj;Baerghosian;;baerghoser;;;;;;;;;;;x
