#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_balad_al_ariya;Balad al Ariya;Balad al Ariya;Balad al Ariya;;Balad al Ariya;;;;;;;;;x
k_balad_al_ariya_adj;Balad al Ariyan;;Balad al Arer;;;;;;;;;;;x
k_balad_al_malakeh;Balad al Malakeh;Balad al Malakeh;Balad al Malakeh;;Balad al Malakeh;;;;;;;;;x
k_balad_al_malakeh_adj;Balad al Malakehian;;Balad al Malakeher;;;;;;;;;;;x
k_baruk_azhik;Baruk Azhik;Baruk Azhik;Baruk Azhik;;Baruk Azhik;;;;;;;;;x
k_baruk_azhik_adj;Baruk Azhikian;;Baruk Azhiker;;;;;;;;;;;x
k_coullabhie;Coullabhie;Coullabhie;Coullabhie;;Coullabhie;;;;;;;;;x
k_coullabhie_adj;Coullabhiean;;coullabher;;;;;;;;;;;x
k_daikhar_zhigun;Daikhar Zhigun;Daikhar Zhigun;Daikhar Zhigun;;Daikhar Zhigun;;;;;;;;;x
k_daikhar_zhigun_adj;Daikhar Zhigunian;;Daikhar Zhiguner;;;;;;;;;;;x
k_danigau;Danigau;Danigau;Danigau;;Danigau;;;;;;;;;x
k_danigau_adj;Danigian;;daniger;;;;;;;;;;;x
k_dauren;Dauren;Dauren;Dauren;;Dauren;;;;;;;;;x
k_dauren_adj;Daurenian;;daurener;;;;;;;;;;;x
k_docandragh;Docandragh;Docandragh;Docandragh;;Docandragh;;;;;;;;;x
k_docandragh_adj;Docandraghian;;docandragher;;;;;;;;;;;x
k_drachenward;Drachenward;Drachenward;Drachenward;;Drachenward;;;;;;;;;x
k_drachenward_adj;Drachenwardian;;drachenwarder;;;;;;;;;;;x
k_dragon_coast;Dragon Coast;Dragon Coast;Dragon Coast;;Dragon Coast;;;;;;;;;x
k_dragon_coast_adj;Dragon Coastian;;Dragon Coaster;;;;;;;;;;;x
k_eastern_marches;Eastern Marches;Eastern Marches;Eastern Marches;;Eastern Marches;;;;;;;;;x
k_eastern_marches_adj;Eastern Marchesian;;Eastern Marcheser;;;;;;;;;;;x
k_giantdowns;Giantdowns;Giantdowns;Giantdowns;;Giantdowns;;;;;;;;;x
k_giantdowns_adj;Giantdownsian;;giantdownser;;;;;;;;;;;x
k_gorgons_crown;Gorgon's Crown;Gorgon's Crown;Gorgon's Crown;;Gorgon's Crown;;;;;;;;;x
k_gorgons_crown_adj;Gorgon's Crownian;;Gorgon's Crowner;;;;;;;;;;;x
k_grabentod;Grabentod;Grabentod;Grabentod;;Grabentod;;;;;;;;;x
k_grabentod_adj;Grabentodian;;grabentoder;;;;;;;;;;;x
k_great_steppe;Great Steppe;Great Steppe;Great Steppe;;Great Steppe;;;;;;;;;x
k_great_steppe_adj;Great Steppean;;Great Stepper;;;;;;;;;;;x
k_grevesmuehl;Grevesmühl;Grevesmühl;Grevesmühl;;Grevesmühl;;;;;;;;;x
k_grevesmuehl_adj;Grevesmühlian;;grevesmühler;;;;;;;;;;;x
k_heartlands;Heartlands;Heartlands;Heartlands;;Heartlands;;;;;;;;;x
k_heartlands_adj;Heartlandsian;;heartlandser;;;;;;;;;;;x
k_hjorig;Hjorig;Hjorig;Hjorig;;Hjorig;;;;;;;;;x
k_hjorig_adj;Hjorigian;;hjoriger;;;;;;;;;;;x
k_ice_march;Ice March;Ice March;Ice March;;Ice March;;;;;;;;;x
k_ice_march_adj;Ice Marchian;;Ice Marcher;;;;;;;;;;;x
k_innishere;Innishere;Innishere;Innishere;;Innishere;;;;;;;;;x
k_innishere_adj;Innisherean;;innisherer;;;;;;;;;;;x
k_island_states;Island States;Island States;Island States;;Island States;;;;;;;;;x
k_island_states_adj;Island Statesian;;Island Stateser;;;;;;;;;;;x
k_kiergard;Kiergard;Kiergard;Kiergard;;Kiergard;;;;;;;;;x
k_kiergard_adj;Kiergardian;;kiergarder;;;;;;;;;;;x
k_kurin_azur;Kurin-Azur;Kurin-Azur;Kurin-Azur;;Kurin-Azur;;;;;;;;;x
k_kurin_azur_adj;Kurin-Azurian;;kurin-azurer;;;;;;;;;;;x
k_lluabraight;Lluabraight;Lluabraight;Lluabraight;;Lluabraight;;;;;;;;;x
k_lluabraight_adj;Lluabraightian;;lluabraighter;;;;;;;;;;;x
k_massenmarch;Massenmarch;Massenmarch;Massenmarch;;Massenmarch;;;;;;;;;x
k_massenmarch_adj;Massenmarchian;;massenmarcher;;;;;;;;;;;x
k_merasaf;Merasaf;Merasaf;Merasaf;;Merasaf;;;;;;;;;x
k_merasaf_adj;Merasafian;;merasafer;;;;;;;;;;;x
k_mieres;Mieres;Mieres;Mieres;;Mieres;;;;;;;;;x
k_mieres_adj;Mieresian;;miereser;;;;;;;;;;;x
k_mueden;Müden;Müden;Müden;;Müden;;;;;;;;;x
k_mueden_adj;Müdenian;;müdener;;;;;;;;;;;x
k_mur_kilad;Mur-Kilad;Mur-Kilad;Mur-Kilad;;Mur-Kilad;;;;;;;;;x
k_mur_kilad_adj;Mur-Kiladian;;mur-kilader;;;;;;;;;;;x
k_northern_marches;Northern Marches;Northern Marches;Northern Marches;;Northern Marches;;;;;;;;;x
k_northern_marches_adj;Northern Marchesian;;Northern Marcheser;;;;;;;;;;;x
k_orlenaskyy_uplands;Orlenaskyy Uplands;Orlenaskyy Uplands;Orlenaskyy Uplands;;Orlenaskyy Uplands;;;;;;;;;x
k_orlenaskyy_uplands_adj;Orlenaskyy Uplandsian;;Orlenaskyy Uplandser;;;;;;;;;;;x
k_rhuannadaraight;Rhuannadaraight;Rhuannadaraight;Rhuannadaraight;;Rhuannadaraight;;;;;;;;;x
k_rhuannadaraight_adj;Rhuannadaraightian;;rhuannadaraighter;;;;;;;;;;;x
k_rohrmarch;Rohrmarch;Rohrmarch;Rohrmarch;;Rohrmarch;;;;;;;;;x
k_rohrmarch_adj;Rohrmarchian;;rohrmarcher;;;;;;;;;;;x
k_rzhlev;Rzhlev;Rzhlev;Rzhlev;;Rzhlev;;;;;;;;;x
k_rzhlev_adj;Rzhlevian;;rzhlever;;;;;;;;;;;x
k_sahirde_el_mehare;Sahirde el-Mehare;Sahirde el-Mehare;Sahirde el-Mehare;;Sahirde el-Mehare;;;;;;;;;x
k_sahirde_el_mehare_adj;Sahirde el-Meharean;;Sahirde el-Meharer;;;;;;;;;;;x
k_sielwode;Sielwode;Sielwode;Sielwode;;Sielwode;;;;;;;;;x
k_sielwode_adj;Sielwodean;;sielwoder;;;;;;;;;;;x
k_southern_bay;Southern Bay;Southern Bay;Southern Bay;;Southern Bay;;;;;;;;;x
k_southern_bay_adj;Southern Baian;;Southern Baer;;;;;;;;;;;x
k_spearmarch;Spearmarch;Spearmarch;Spearmarch;;Spearmarch;;;;;;;;;x
k_spearmarch_adj;Spearmarchian;;spearmarcher;;;;;;;;;;;x
k_the_burrows;The Burrows;The Burrows;The Burrows;;The Burrows;;;;;;;;;x
k_the_burrows_adj;The Burrowsian;;The Burrowser;;;;;;;;;;;x
k_the_northlands;The Northlands;The Northlands;The Northlands;;The Northlands;;;;;;;;;x
k_the_northlands_adj;The Northlandsian;;The Northlandser;;;;;;;;;;;x
k_the_taelshore;The Taelshore;The Taelshore;The Taelshore;;The Taelshore;;;;;;;;;x
k_the_taelshore_adj;The Taelshorean;;The Taelshorer;;;;;;;;;;;x
k_tuar_annwn;Tuar Annwn;Tuar Annwn;Tuar Annwn;;Tuar Annwn;;;;;;;;;x
k_tuar_annwn_adj;Tuar Annwnian;;Tuar Annwner;;;;;;;;;;;x
k_tuarhievel;Tuarhievel;Tuarhievel;Tuarhievel;;Tuarhievel;;;;;;;;;x
k_tuarhievel_adj;Tuarhievelian;;tuarhieveler;;;;;;;;;;;x
k_western_bay;Western Bay;Western Bay;Western Bay;;Western Bay;;;;;;;;;x
k_western_bay_adj;Western Baian;;Western Baer;;;;;;;;;;;x
k_zhainge_valley;Zhaïnge Valley;Zhaïnge Valley;Zhaïnge Valley;;Zhaïnge Valley;;;;;;;;;x
k_zhainge_valley_adj;Zhaïnge Valleian;;Zhaïnge Valleer;;;;;;;;;;;x
