#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_gorgons_crown;Gorgon's Crown;Gorgon's Crown;Gorgon's Crown;;Gorgon's Crown;;;;;;;;;x
e_gorgons_crown_adj;Gorgon's;;Gorgons;;;;;;;;;;;x
e_aelvinwode;The Aelvinwode;;;;;;;;;;;;;x
e_aelvinwode_adj;Aelvinwodian;;;;;;;;;;;;;x
e_north;Kingdom of The North;;;;;;;;;;;;;x
e_north_adj;Northern;;;;;;;;;;;;;x
e_stonecrowns;Kingdom of The Stonecrowns;;;;;;;;;;;;;x
e_stonecrowns_adj;Stonecrowner;;;;;;;;;;;;;x
e_cerilia;Cerilia;;;;;;;;;;;;;x
e_cerilia_adj;Cerilian;;;;;;;;;;;;;x
e_shadowworld;Shadowworld;;;;;;;;;;;;;x
e_shadowworld_adj;Shadowworld;;;;;;;;;;;;;x
k_imperial_temple;Imperial Temple;;;;;;;;;;;;;x
k_imperial_temple_adj;Imperial Temple;;;;;;;;;;;;;x
k_avanil;Principality of Avanil;;;;;;;;;;;;;x
k_avanil_adj;Avanese;;;;;;;;;;;;;x
k_boeruine;Archduchy of Boeruine;;;;;;;;;;;;;x
k_boeruine_adj;Boeruinian;;;;;;;;;;;;;x
k_ghoere;Grand Barony of Ghoere;;;;;;;;;;;;;x
k_ghoere_adj;Ghoerian;;;;;;;;;;;;;x
k_diemed;Archduchy of Diemed;;;;;;;;;;;;;x
k_diemed_adj;Diemedian;;;;;;;;;;;;;x
k_alamie;Archduchy of Alamie;;;;;;;;;;;;;x
k_alamie_adj;Alamian;;;;;;;;;;;;;x
k_taeghas;Archduchy of Taeghas;;;;;;;;;;;;;x
k_taeghas_adj;Taeghasian;;;;;;;;;;;;;x
k_aerenwe;Archduchy of Aerenwe;;;;;;;;;;;;;x
k_aerenwe_adj;Aerenwian;;;;;;;;;;;;;x
k_mhoried;Archduchy of Mhoried;;;;;;;;;;;;;x
k_mhoried_adj;Mhoriedian;;;;;;;;;;;;;x
k_osoerde;Archduchy of Osoerde;;;;;;;;;;;;;x
k_osoerde_adj;Osoerdian;;;;;;;;;;;;;x
k_elinie;Archduchy of Elinie;;;;;;;;;;;;;x
k_elinie_adj;Elinean;;;;;;;;;;;;;x
k_cariele;Archduchy of Cariele;;;;;;;;;;;;;x
k_cariele_adj;Carielian;;;;;;;;;;;;;x
k_talinie;Archduchy of Talinie;;;;;;;;;;;;;x
k_talinie_adj;Talinian;;;;;;;;;;;;;x
k_trautha;Elven Tribe of Trautha;;;;;;;;;;;;;x
k_trautha_adj;Trauthian;;;;;;;;;;;;;x
k_tuarhievel_dhoesone;Tuarhievel & Dhoesone;;;;;;;;;;;;;x
k_tuarhievel_dhoesone_adj;Tuarhievelian & Dhoesonian;;;;;;;;;;;;;x
k_serpent;Isle of the Serpent;;;;;;;;;;;;;x
k_duzhumazabik;Duzhumazabik;;;;;;;;;;;;;x
k_duzhumazabik_adjDuzhumazabikan;;;;;;;;;;;;;x
k_yeninskiy;Yeninskiy;Yeninskiy;Yeninskiy;;Yeninskiy;;;;;;;;;x
k_yeninskiy_adj;Yeninskian;;;;;;;;;;;;;x
k_min_dhousai;Min Dhousai;Min Dhousai;Min Dhousai;;Min Dhousai;;;;;;;;;x
k_min_dhousai_adj;Min Dhousaian;;min dhousaisch;;;;;;;;;;;x
k_aftane;Aftane;Aftane;Aftane;;Aftane;;;;;;;;;x
