#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
##BLOODLINE TRAITS##
bloodline_azrai;Bloodline of Azrai;;;;;;;;;;;;;x
bloodline_azrai_desc;Azrai, known as the Shadow, was an evil god of great power. His essence can easily corrupt the holder, and twist the body into monstrous forms. However, it also gives great powers.;;;;;;;;;;;;;x
bloodline_basaia;Bloodline of Basaïa;;;;;;;;;;;;;x
bloodline_basaia_desc;Basaïa, the queen of the sun was the patron deity of the Basarji, precursors to the Khinasi. Basaïa died at Deismaar at the hands of Azrai. It is said that her blazing body fell to the earth and burned its way to the core of the world causing the collapse of the land bridge.;;;;;;;;;;;;;x
bloodline_brenna;Bloodline of Brenna;;;;;;;;;;;;;x
bloodline_brenna_desc;Brenna was the goddess of commerce and fortune, her people were explorers by nature but mostly they valued exploration for the wealth it brought for Brenna's people were ever appreciative of comforts. Brenna died at Deismaar at the hands of Azrai shortly after the dark god killed Vorynn as he tried to regain the loyalty of the Vos and sway them to the side of light.;;;;;;;;;;;;;x
bloodline_anduireas;Bloodline of Anduiras;;;;;;;;;;;;;x
bloodline_anduireas_desc;Anduiras was the patron deity of the Andu, precursors to the Anuireans. Little remains of Anduiras beyond his bloodline for his worship has been replaced by that of Haelyn in Aduria and Cerilia. Anduiras died at Deismaar after killing Azrai, his wounded form disrupted by the explosion of power as the shadow lord's spirit was torn asunder and Deismaar exploded.;;;;;;;;;;;;;x
bloodline_reynir;Bloodline of Reynir;;;;;;;;;;;;;x
bloodline_reynir_desc;Reynir was the ancient god of the Rjuven, an explorer like his people he encouraged his people to migrate from Aduria to the relative safety of Cerilia, she is still worshipped in some parts of Aduria, where word of his death never reached the more reclusive of his people.;;;;;;;;;;;;;x
bloodline_vorynn;Bloodline of Vorynn;;;;;;;;;;;;;x
bloodline_vorynn_desc;Vorynn ancient god of the Vos, saw the coming of the Shadow before any other, but failed to act against Azrai out of disinterest in temporal matters. When Vorynn saw that his inaction had allowed Azrai to corrupt many of his people, he guided the remainder of his people to migrate from Aduria to Cerilia, taking them as far from Aduria as it was physically possible to get.;;;;;;;;;;;;;x
bloodline_masela;Bloodline of Masela;;;;;;;;;;;;;x
bloodline_masela_desc;Masela was the Lady of the Seas, patron of the sea-faring Masetian people and all those who lived on the bounty of the seas. She embodied the dualism of the sea and favoured those who lived a good, rather than a proper life. When Azrai turned his attention to Cerilia, Masela's people sailed to defend Cerilia at Deismaar in vast numbers.;;;;;;;;;;;;;x
##Class Traits##
amateur_bard;Amateur Bard;;;;;;;;;;;;;x
amateur_bard_desc;This character is an amateur bard, a starter in the college of bards.;;;;;;;;;;;;;x
novice_bard;Novice Bard;;;;;;;;;;;;;x
novice_bard_desc;This character is an novice bard, thriving to be the best, in enough years [Root.GetSheHe] is surely to reach greatness.;;;;;;;;;;;;;x
trained_bard;Trained Bard;;;;;;;;;;;;;x
trained_bard_desc;This character is a trained bard, a most interesting prospect, surely this character is beloved among [Root.GetHerHis] local populace.;;;;;;;;;;;;;x
master_bard;Master Bard;;;;;;;;;;;;;x
master_bard_desc;This character is a master bard, a master like no other, regents everywhere give huge feasts when this character is at court.;;;;;;;;;;;;;x
legendary_bard;Legendary Bard;;;;;;;;;;;;;x
legendary_bard_desc;This character is a legendary bard, a legend between bards, only tales and rumours are heard of this character. Legendary Bards are often revered as healers, historians, heralds, messengers, advisers, and tutors.;;;;;;;;;;;;;x
amateur_mage;Amateur Mage;;;;;;;;;;;;;x
amateur_mage_desc;This character is an amateur mage, a starter in the college of mages.;;;;;;;;;;;;;x
novice_mage;Novice Mage;;;;;;;;;;;;;x
novice_mage_desc;This character is an novice mage, thriving to be the best, in enough years [Root.GetSheHe] is surely to reach greatness.;;;;;;;;;;;;;x
trained_mage;Trained Mage;;;;;;;;;;;;;x
trained_mage_desc;This character is a trained mage, a most interesting prospect, surely this character is beloved among [Root.GetHerHis] local populace.;;;;;;;;;;;;;x
master_mage;Master Mage;;;;;;;;;;;;;x
master_mage_desc;This character is a master mage, a master like no other, regents everywhere dream of hiring [Root.GetHerHis] services when this character is nearby.;;;;;;;;;;;;;x
legendary_mage;Legendary Mage;;;;;;;;;;;;;x
legendary_mage_desc;This character is a legendary mage, a legend between mages, only tales and rumours are heard of this character. Legendary Mages are often able to create great magical weapons with ease.;;;;;;;;;;;;;x
amateur_sorcerer;Amateur Sorcerer;;;;;;;;;;;;;x
amateur_sorcerer_desc;This character is an amateur sorcerer, a true sorcerer, though an amateur, has a great potential, the future of this character is uncertain.;;;;;;;;;;;;;x
novice_sorcerer;Novice Sorcerer;;;;;;;;;;;;;x
novice_sorcerer_desc;This character is an novice sorcerer, thriving to be the best, with enough training [Root.GetSheHe] is surely to reach greatness.;;;;;;;;;;;;;x
trained_sorcerer;Trained Sorcerer;;;;;;;;;;;;;x
trained_sorcerer_desc;This character is a trained sorcerer, a most interesting prospect, surely this character is beloved among [Root.GetHerHis] local populace and [Root.GetHerHis] power feared among other magic users.;;;;;;;;;;;;;x
master_sorcerer;Master Sorcerer;;;;;;;;;;;;;x
master_sorcerer_desc;This character is a master sorcerer, a master like no other, regents everywhere dream of hiring [Root.GetHerHis] services when this character is nearby [Root.GetHerHis] force is to be reckoned with.;;;;;;;;;;;;;x
legendary_sorcerer;Legendary Sorcerer;;;;;;;;;;;;;x
legendary_sorcerer_desc;This character is a legendary sorcerer, a legend between magic users, only tales and rumours are heard of this character. Legendary Sorcerers are able to harness the energy of the earth itself to create both wonders and terrors...;;;;;;;;;;;;;x
amateur_priest;Amateur Priest;;;;;;;;;;;;;x
amateur_priest_desc;This character is an amateur priest, an amateur follower of [Root.GetHerHis] patron deity.;;;;;;;;;;;;;x
novice_priest;Novice Priest;;;;;;;;;;;;;x
novice_priest_desc;This character is an novice priest, thriving to be the best, in enough years [Root.GetSheHe] is surely to reach greatness.;;;;;;;;;;;;;x
trained_priest;Trained Priest;;;;;;;;;;;;;x
trained_priest_desc;This character is a trained priest, a most interesting prospect, surely this character is beloved among [Root.GetHerHis] local populace and guided by [Root.GetHerHis] patron deity.;;;;;;;;;;;;;x
master_priest;Master Priest;;;;;;;;;;;;;x
master_priest_desc;This character is a master priest, a master like no other, regents everywhere dream of hiring [Root.GetHerHis] services when this character is nearby.;;;;;;;;;;;;;x
legendary_priest;Legendary Priest;;;;;;;;;;;;;x
legendary_priest_desc;This character is a legendary priest, a legend between priests and clergy alike, only tales and rumours are heard of this character. Legendary Priests are often rumoured to speak with their patron deity directly.;;;;;;;;;;;;;x
amateur_ranger;Amateur Ranger;;;;;;;;;;;;;x
amateur_ranger_desc;This character is an amateur ranger, barely able to tap into the natural energy.;;;;;;;;;;;;;x
novice_ranger;Novice Ranger;;;;;;;;;;;;;x
novice_ranger_desc;This character is an novice ranger, thriving to be the best, in enough years [Root.GetSheHe] is surely to reach greatness.;;;;;;;;;;;;;x
trained_ranger;Trained Ranger;;;;;;;;;;;;;x
trained_ranger_desc;This character is a trained ranger, a most interesting prospect, surely this character is beloved among [Root.GetHerHis] local populace and has a great understanding of nature.;;;;;;;;;;;;;x
master_ranger;Master Ranger;;;;;;;;;;;;;x
master_ranger_desc;This character is a master ranger, a master like no other, regents everywhere dream of hiring [Root.GetHerHis] services when this character is nearby.;;;;;;;;;;;;;x
legendary_ranger;Legendary Ranger;;;;;;;;;;;;;x
legendary_ranger_desc;This character is a legendary ranger, a legend between rangers, only tales and rumours are heard of this character. Legendary Rangers are often able to tame the wildest of forests, obtaining great understanding of nature.;;;;;;;;;;;;;x
amateur_rogue;Amateur Rogue;;;;;;;;;;;;;x
