adventuremenu.0.b;I will leave the adventuring life behind.;;;;;;;;;;;;x
adventuremenu.0.c;How do I encourage my kids to go adventuring?;;;;;;;;;;;;x
adventurer.3.a;Very well, go forth then and slay this monster.;;;;;;;;;;;;x
adventurer.3.b;Very well, go forth then and slay this monster.;;;;;;;;;;;;x
adventurer.7.a;Pay them, and throw a feast in their honor!;;;;;;;;;;;;x
adventurer.7.b;I refuse to pay. Send them off!;;;;;;;;;;;;x
adventurer.7.b;Pay them, and throw a feast in their honor!;;;;;;;;;;;;x
ADVENTURER;Adventurer;;;;;;;;;;;;x
ADVENTURERS_FAIL;Adventurers Fail;;;;;;;;;;;;x
ADVENTURE_AWAITS;Adventure awaits!;;;;;;;;;;;;x
ADVENTURING;Adventuring;;;;;;;;;;;;x
ADVENTURING_CLASS;Adventuring Class;;;;;;;;;;;;x
AERENWE;Aerenwe;;;;;;;;;;;;x
AMBUSH;Ambush!;;;;;;;;;;;;x
ANUIREAN_EMPIRE;Anuirean Empire;;;;;;;;;;;;x
I_WILL_BLESS_SOME_PROVINCES;I will bless some provinces.;;;;;;;;;;;;x
adventurer.2.c;Better hire an adventurer from these parts...;;;;;;;;;;;;x
adventurer.2.b;Better hire an adventurer from these parts...;;;;;;;;;;;;x
YES_I_WILL_BECOME_WARLEADER;Yes, I will become War-Leader.;;;;;;;;;;;;x
adventurer.2.a;Better hire an adventurer from these parts...;;;;;;;;;;;;x
YES_CONTACT_ONE_OF_MY_OWN_RELIGION;Yes, contact one of my own religion.;;;;;;;;;;;;x
HOPEFULLY_HE_BECOMES_A_MAN;Hopefully, he becomes a man;;;;;;;;;;;;x
adventurer.2.d;Better hire an adventurer from these parts...;;;;;;;;;;;;x
STAY_TOGETHER_FIGHTING_RETREAT;Stay together - fighting retreat!;;;;;;;;;;;;x
random.15.a;I'll decide what to do with them later...;;;;;;;;;;;;x
I_WANT_THEM_TO_INSTIGATE_REBELLIONS;I want them to instigate rebellions.;;;;;;;;;;;;x
YES_I_WILL_LEAD_THE_KHINASI;Yes, I will lead the Khinasi.;;;;;;;;;;;;x
NO_HE_HAS_NOT_YET_PROVEN_HIMSELF;No, he has not yet proven himself.;;;;;;;;;;;;x
HAH_LET_HER_HAVE_HER_FUN;Hah! Let her have her fun.;;;;;;;;;;;;x
random.2.a;Curse them! Hire another party of adventurers...;;;;;;;;;;;;x
random.2.b;Curse them! Hire another party of adventurers...;;;;;;;;;;;;x
THAT_BASTARD_I_WONT_FORGET_THIS;That bastard! I won't forget this...;;;;;;;;;;;;x
random.6.a;For the glory of us all, men! Victory! We share the loot.;;;;;;;;;;;;x
YES_PREPARE_THE_LESSER_ALCHEMY_SPELL;Yes, prepare the lesser alchemy spell.;;;;;;;;;;;;x
