#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###SPECIAL CULTURAL TITLES###

### RJURIK ###

baron_Rjurik;Thane;;;;;;;;;;;;;x
baron_female_Rjurik;Thane;;;;;;;;;;;;;x
barony_of_Rjurik;Thanage of;;;;;;;;;;;;;x
count_Rjurik;Jarl;;;;;;;;;;;;;x
count_female_Rjurik;Jarl;;;;;;;;;;;;;x
county_of_Rjurik;Jarldom of;;;;;;;;;;;;;x
emperor_Rjurik;High King;;;;;;;;;;;;;x
emperor_female_Rjurik;High Queen;;;;;;;;;;;;;x
empire_of_Rjurik;High Kingdom of;;;;;;;;;;;;;x


#### VOSGAARD ####
baron_Vos;Boyar;;;;;;;;;;;;;x
baron_female_Vos;Boyarina;;;;;;;;;;;;;x
count_Vos;Zhupan;;;;;;;;;;;;;;;;
count_female_Vos;Zhupana;;;;;;;;;;;;;x
county_of_Vos;Chiefdom of;;;;;;;;;;;;;x
duke_Vos;Tsarevo;;;;;;;;;;;;;x
duke_female_Vos;Tsareva;;;;;;;;;;;;;x
family_palace_baron_Vos;Guilder;;;;;;;;;;;;;;;;x
city_duke_Vos;Guildmaster;;;;;;;;;;;;;;;;x
city_duchy_of_Vos;Guild of;;;;;;;;;;;;;x
city_duchy_Vos;City;;;;;;;;;;;;;x
king_Vos;Tsar;;;;;;;;;;;;;x
king_female_Vos;Tsaritsa;;;;;;;;;;;;;x
empire_of_Vos;Tsarstvo of;Tsarstvo of;Tsarstvo of;;Tsarstvo of;;;;;;;;;x
emperor_Vos;Tsarevic;;;;;;;;;;;;;x
emperor_female_Vos;Tsarevna;;;;;;;;;;;;;x

#Brechtur#
city_duke_Brecht;Guildmaster;;;;;;;;;;;;;;;;x
city_duchy_of_Brecht;Guild of;;;;;;;;;;;;;x
city_duchy_Brecht;City;;;;;;;;;;;;;x
family_palace_baron_Brecht;Guilder;;;;;;;;;;;;;;;;x

#Anuire#
family_palace_baron_Anuirean;Guilder;;;;;;;;;;;;;;;;x
barony_of_Anuirean;Castle of;;;;;;;;;;;;;x
baron_Anuirean;Sir;;;;;;;;;;;;;x
baron_female_Anuirean;Dame;;;;;;;;;;;;;x
city_baron_Anuirean;Mayor;;;;;;;;;;;;;x
city_baron_female_Anuirean;Mayoress;;;;;;;;;;;;;x
