#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_ihh;Impregnable Heart of Haelyn;;;;;;;;;;;;;x
d_haelynaegis;Haelyn's Aegis;;;;;;;;;;;;;x
d_milorce;Militant Order of Cuiraecen;;;;;;;;;;;;;x
d_haelynwarriors;Haelyn's Warriors;;;;;;;;;;;;;x
d_stormorder;Storm's Height Order;;;;;;;;;;;;;x
d_orthodoxguardians;Guardians of The Holy Orthodox;;;;;;;;;;;;;x
d_peaceful_nesirie;Peaceful Seas of Nesirie;;;;;;;;;;;;;x
d_tf;Fortress;;;;;;;;;;;;;x
c_lpa;Life and Protection of Avanalae;;;;;;;;;;;;;x
d_htc;Hidden Temple of Cuiraecen;;;;;;;;;;;;;x
d_cjs;Celestial Jewel of Sarimie;;;;;;;;;;;;;x
d_ff;Fortune's Forethought;;;;;;;;;;;;;x
d_bloodspears;Order of The Bloodspears;;;;;;;;;;;;;x
d_sonsofserpent;Sons of the Serpent;;;;;;;;;;;;;x
d_krieshawitches;Witches of Kriesha;;;;;;;;;;;;;x
d_gheallie_sidhe;Gheallie Sidhe;;;;;;;;;;;;;x
d_forestguardians;Guardians of The Forest;;;;;;;;;;;;;x
d_tof;Temple of Fortune;;;;;;;;;;;;;x
d_oaken_grove;Oaken Grove of Erik;;;;;;;;;;;;;x
d_emerald_spiral;Emerald Spiral;;;;;;;;;;;;;x
#Religious Leaders#
#d_western_temple;Western Imperial Temple;;;;;;;;;;;;;x#
d_ruornil_celestial;Ruornil's Celestial Spell;;;;;;;;;;;;;x
