#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_warrior;the Warrior;;;;;;;;;;;x
nick_the_scholar;the Scholar;;;;;;;;;;;x
nick_the_priest;the Priest;;;;;;;;;;;x
nick_the_priestess;the Priestess;;;;;;;;;;;x
nick_the_defender;the Defender;;;;;;;;;;;x
nick_the_sword;the Sword;;;;;;;;;;;x
nick_the_shield;the Shield;;;;;;;;;;;x
nick_the_lunatic;the Lunatic;;;;;;;;;;;x
nick_the_greedy;the Greedy;;;;;;;;;;;x
nick_the_envious;the Envious;;;;;;;;;;;x
nick_the_kind;the Kind;;;;;;;;;;;x
nick_the_founder;the Founder;;;;;;;;;;;x
nick_riedhie;Riedhie;;;;;;;;;;;x
nick_the_sickly;the Sickly;;;;;;;;;;;x
nick_the_bleeder;the Bleeder;;;;;;;;;;;x
nick_the_unfair;the Unfair;;;;;;;;;;;x
nick_the_skulk;the Skulk;;;;;;;;;;;x
nick_shooting_star;Shooting Star;;;;;;;;;;;x
nick_the_raider;the Raider;;;;;;;;;;;x
nick_firebrand;Firebrand;;;;;;;;;;;x
nick_the_gourmand;the Gourmand;;;;;;;;;;;x
nick_bulls_eye;Bulls-Eye;;;;;;;;;;;x
nick_two_toes;Two-Toes;;;;;;;;;;;x
nick_the_red;the Red;;;;;;;;;;;x
nick_rot_eye;Rot-Eye;;;;;;;;;;;x
nick_maulfist;Maulfist;;;;;;;;;;;x
nick_the_black;the Black;;;;;;;;;;;x
nick_sharpspear;Sharpspear;;;;;;;;;;;x
nick_the_swift;the Swift;;;;;;;;;;;x
nick_the_chimaera;the Chimaera;;;;;;;;;;;x
nick_the_kingslayer;the Kingslayer;;;;;;;;;;;x
nick_the_paladin;the Paladin;;;;;;;;;;;x
nick_the_master_of_anuire;the Master of Anuire;;;;;;;;;;;x
