#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

January;Sarimiere (1);;;;;;;;;;;;;x
February;Talienire (2);;;;;;;;;;;;;x
March;Roelir (3);;;;;;;;;;;;;x
April;Haelynir (4);;;;;;;;;;;;;x
May;Anarire (5);;;;;;;;;;;;;x
June;Deismir (6);;;;;;;;;;;;;x
July;Erntenir (7);;;;;;;;;;;;;x
August;Sehnir (8);;;;;;;;;;;;;x
September;Emmanir (9);;;;;;;;;;;;;x
October;Keltier (10);;;;;;;;;;;;;x
November;Faniele (11);;;;;;;;;;;;;x
December;Pasiphiel (12);;;;;;;;;;;;;x
Monday;Firlen;;;;;;;;;;;;;x
Tuesday;Relen;;;;;;;;;;;;;x
Wednesday;Dielen;;;;;;;;;;;;;x
Thursday;Varilen;;;;;;;;;;;;;x
Friday;Branlen;;;;;;;;;;;;;x
Saturday;Barlen;;;;;;;;;;;;;x
Sunday;Mierlen;;;;;;;;;;;;;x
