#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

elven_reconquest;Elven Reconquest;;;;;;;;;;;;;x
elven_reconquest_desc;Long ago this continent used to belong to us Elves. So long have we been hiding on our forests, but no more! We shall retake what's ours and push back the invaders once and for all.;;;;;;;;;;;;;x
outlaw_county_conquest;Outlaw Conquest;;;;;;;;;;;;;x
outlaw_county_conquest_desc;We are Outlaws! We bow to none, and we shall conquer what we see fit.;;;;;;;;;;;;;x
outlaw_subjugation_county_conquest;Outlaw County Subjugation;;;;;;;;;;;;;x
outlaw_subjugation_county_conquest_desc;We are strong enough to subjugate a realm, since we are outlaws we don't have to worry about petty things such as claims and righteousness.;;;;;;;;;;;;;x
pagan_subjugation2_desc;We shall take everything and make everyone bow down to us.;;;;;;;;;;;;;x



