##Most of the content here was/is originally made by the AGOT team.
take_prisoner_as_wife;Take [Root.GetTitledFirstName] as your Wife;;;;;;;;;;;;;x
take_prisoner_as_wife_desc;As she is your prisoner, you may take [Root.GetTitledFirstName] as your Wife.;;;;;;;;;;;;;x
opinion_forced_marriage;Forced Marriage;;;;;;;;;;;;x
opinion_forced_marriage_child;Forced Marriage with child;;;;;;;;;;;;;x
opinion_forced_marriage_kin;Forced Marriage with Kin;;;;;;;;;;;;;x
torture_prisoner;Torture [Root.GetTitledFirstName];;;;;;;;;;;;;x
torture_prisoner_desc;Send your Head Torturer on a visit to your prisoner, [Root.GetTitledFirstName], potentially injuring them or worse.;;;;;;;;;;;;;x
TOOLTIPTORTURE;Your torturer has some fun with [Root.GetTitledFirstName].;;;;;;;;;;;;;x
EVT_DESC_50051;Your jailers have reported back to you that they made your prisoner know what true pain is!;;;;;;;;;;;;;x
EVT_OPTA_50051;Very good, that'll teach them!;;;;;;;;;;;;;x
EVT_DESC_50052;Your jailers enter your cell with a dark grin upon their faces. 'Orders from the Lord, we're to have some fun with you. Now, which part should we break first?';;;;;;;;;;;;;x
EVT_OPTA_50052;Get away from me! GET AWAY! NOOOOOOOOOOO!;;;;;;;;;;;;;x
EVT_DESC_50053;Hidden Event;;;;;;;;;;;;x
EVT_OPTA_50053;You shouldn't see this;;;;;;;;;;;;;x
crucified;Crucified;;;;;;;;;;;;;x
crucified_desc;This character was hung from the cross and left to die;;;;;;;;;;;;;x
EVTDESC50054;Do you wish to have your prisoner hung up on a cross and left out in the sun for many a day to die?;;;;;;;;;;;;;x
EVTOPTA50054;Yes, to stand as a warning;;;;;;;;;;;;;x
EVTOPTB50054;I shall giver a merciful death;;;;;;;;;;;;;x
EVTDESC50055;Your gaoler comes in and puts a bag over your head before dragging you out into the sun, he removes the bag hangs you up onto a cross and before you know what is happening you feel pain in your hands and feet as nails are hammered into them. As you look up the man turns his back and walks away whilst you hang therein the sun.;;;;;;;;;;;;;x
EVTOPTA50055;You aren't just going to leave me here... right?;;;;;;;;;;;;;x
snu_snu;Snu Snu;;;;;;;;;;;;;x
snu_snu_desc;This character died by Snu Snu;;;;;;;;;;;;;x
EVTDESC50056;Do you wish to have many of the women go to your prisoner and engage in the sacred act of Snu Snu? A harsh punishment yet effective.;;;;;;;;;;;;;x
EVTOPTA50056;None will withstand the Snu Snu!;;;;;;;;;;;;;x
EVTOPTB50056;He can have a merciful death...;;;;;;;;;;;;;x
EVTDESC50057;In the middle of the night many women enter your cell and declare thy will engage in Snu Snu with you, initially you are fearful until you discover what the act of Snu Snu entails... the night is full of activity but in the end of it...;;;;;;;;;;;;;x
EVTOPTA50057;Your heart gives out... a lovely way to die...;;;;;;;;;;;;;x
plot_kidnap_liege_title;Kidnap [This.GetBestName];;;;;;;;;;;;;x
plot_kidnap_liege_desc;[From.GetTitledFirstName] has decided that kidnapping is the only way to make [This.GetTitledFirstName] give up some of [This.GetHerHis] land.;;;;;;;;;;;;;x
plot_kidnap_character_title;Kidnap [This.GetTitledFirstName];;;;;;;;;;;;;x
plot_kidnap_character_desc;[From.GetTitledFirstName] wants to see [This.GetTitledFirstName] brought in chains before [From.GetHerHim].;;;;;;;;;;;;;x
EVTDESC1007000;An opportunity has arisen to attempt the kidnapping of [Root.PlotTarget.GetTitledName]. My fellow plotters are just waiting for my signal to proceed.;;;;;;;;;;;;;x
EVTOPTA1007000;We strike after dark!;;;;;;;;;;;;;x
EVTOPTB1007000;Wait for a better opportunity...;;;;;;;;;;;;;x
EVTOPTC1007000;This is too dishonourable;;;;;;;;;;;;;x
EVTDESC1007001;As I was sleeping, [From.GetTitledFirstName] broke into my bedchamber and put a dagger to my throat. I was forced out into the courtyard, where [From.GetHerHis] co-conspirators were waiting on fast horses. [From.GetTitledFirstName] now has me locked up in the basement of [From.GetHerHis] manor and is demanding that I give [From.GetHerHim] the land [From.GetSheHe] considers rightfully [From.GetHerHis]. If I refuse, [From.GetSheHe] is threatening to kill me...;;;;;;;;;;;;;x
EVTOPTA1007001;Take the land, just don't kill me!;;;;;;;;;;;;;x
EVTOPTB1007001;I do not give in to threats;;;;;;;;;;;;;x
EVTTOOLTIP1007001;The kidnapping succeeds;;;;;;;;;;;;;x
EVTDESC1007002;My guards caught [From.GetTitledFirstName] just as [From.GetSheHe] was about to break into my bedchamber, dagger in hand. Under interrogation, [From.GetSheHe] has confessed to planning to kidnap me to force me to give [From.GetHerHim] lands and a title.;;;;;;;;;;;;;x
EVTOPTA1007002;Let [From.GetHerHim] rot in jail;;;;;;;;;;;;;x
EVTOPTB1007002;The punishment for treason is death!;;;;;;;;;;;;;x
EVTOPTC1007002;I will forgive [From.GetHerHim]... this time.;;;;;;;;;;;;;x
EVTTOOLTIP1007002;The kidnapping fails!;;;;;;;;;;;;;x
