#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCMyMod.800;I have been imprisoned and my future looks grim, but as a woman of child-bearing age I have a possible way to get released...;J'ai été emprisonné et mon futur s'annonce bien sombre, mais étant en âge d'avoir des enfants, j'ai peut-être une chance de m'en sortir...;I have been imprisoned and my future looks grim, but as a woman of child-bearing age I have a possible way to get released...;;I have been imprisoned and my future looks grim, but as a woman of child-bearing age I have a possible way to get released...;;;;;;;;;x
EVTDESCMyMod.801;One of your prisoners, [From.GetBestName], has approached you with a request to be released from prison, and she promises to be very grateful indeed.;"Une de vos prisonnières, [From.GetBestName], requiert de sortir de geôle et promet d'être ""reconnaissante"" si vous accéder à sa demande.";One of your prisoners, [From.GetBestName], has approached you with a request to be released from prison, and she promises to be very grateful indeed.;;One of your prisoners, [From.GetBestName], has approached you with a request to be released from prison, and she promises to be very grateful indeed.;;;;;;;;;x
EVTDESCMyMod.802;After a night of guilty pleasures you are released, a free woman once more.;Après une nuit de plaisirs coupables vous êtes libérée, encore une femme libre.;After a night of guilty pleasures you are released, a free woman once more.;;After a night of guilty pleasures you are released, a free woman once more.;;;;;;;;;x
EVTDESCMyMod.803;Your request to be released has been denied.;Votre requête a été refusée.;Your request to be released has been denied.;;Your request to be released has been denied.;;;;;;;;;x
EVTOPTAMyMod.800;I can "plead my belly".;Jouer le jeu de la séduction.;I can "plead my belly".;;I can "plead my belly".;;;;;;;;;x
EVTOPTAMyMod.801;I'll release her into my bedchamber tonight...;Je vais l'inviter dans ma chambre cette nuit...;I'll release her into my bedchamber tonight...;;I'll release her into my bedchamber tonight...;;;;;;;;;x
EVTOPTAMyMod.802;Hopefully there won't be "consequences"...;Espérons qu'il n'y aura pas de "conséquences" ...;"Hopefully there won't be "consequences"...;;Hopefully there won't be "consequences"...;;;;;;;;;x
EVTOPTAMyMod.803;Such a shame...;Une telle honte...;Such a shame...;;Such a shame...;;;;;;;;;x
EVTOPTBMyMod.800;No, such an action would be sinful.;Non, une telle action serait pécheresse.;No, such an action would be sinful.;;No, such an action would be sinful.;;;;;;;;;x
EVTOPTBMyMod.801;I will not be seduced!;Je ne me laisserai pas séduire !;I will not be seduced!;;I will not be seduced!;;;;;;;;;x
EVTTOOLTIPMyMod.801;You try to seduce your way to freedom.;Vous essayer de préparer votre chemin vers la liberté via la séduction.;You try to seduce your way to freedom.;;You try to seduce your way to freedom.;;;;;;;;;x
EVTTOOLTIPMyMod.802;You join [From.GetBestName] into his bed before you are freed.;You join [From.GetBestName] into his bed before you are freed.;You join [From.GetBestName] into his bed before you are freed.;;You join [From.GetBestName] into his bed before you are freed.;;;;;;;;;x
EVTTOOLTIPMyMod.803;[From.GetBestName] will remain a prisoner.;[From.GetBestName] va rester prisonnière.;[From.GetBestName] will remain a prisoner.;;[From.GetBestName] will remain a prisoner.;;;;;;;;;x
#################
EVTDESCMyMod.810;I am growing older and have no heir, maybe it is time I acknowledge one of my illegitimate children...;I am growing older and have no heir, maybe it is time I acknowledge one of my illegitimate children...;I am growing older and have no heir, maybe it is time I acknowledge one of my illegitimate children...;;I am growing older and have no heir, maybe it is time I acknowledge one of my illegitimate children...;;;;;;;;;x
EVTOPTBMyMod.810;No, there is still time to get a legitimate heir.;No, there is still time to get a legitimate heir.;No, there is still time to get a legitimate heir.;;No, there is still time to get a legitimate heir.;;;;;;;;;x
