#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
gods_of_good;Champions of Good;;;;;;;;;;;;;x
gods_of_evil;Champions of Azrai;;;;;;;;;;;;;x
Siedhe_Beliefs;Siedhe Beliefs;;;;;;;;;;;;;x
GiantGods;Giant Gods;;;;;;;;;;;;;x
human;Human;;;;;;;;;;;;;x
old_humans;Old Humans;;;;;;;;;;;;;x
###############################################
Haelyns_Bastion_of_Truth;Haelyn's Bastion of Truth;;;;;;;;;;;;;x
Haelyns_Bastion_of_Truth_DESC;Haelyn's Bastion of Truth is devoted primarily to Haelyn as the patron of Anuire. Haelyn is revered throughout Anuire as a paragon of kingship, courage, chivalry, command of armies, and stern yet merciful justice. The temple teaches that its followers must emulate Haelyn as a defender of the innocent and labourer for the good of the whole community.;;;;;;;;;;;;;x
Old_Father_of_the_Forests;Old Father of the Forests;;;;;;;;;;;;;x
Old_Father_of_the_Forests_DESC;The followers of the Old Father of the Forests guard the wilderness against degradations by man and beast. Similar in some ways to the Emerald Spiral in its messages, its congregation is commonly associated with the Coulladaraight, being made up of rangers, druids and others from the woods.;;;;;;;;;;;;;x
Drake_Cult;Cult of The Drake;;;;;;;;;;;;;x
Drake_Cult_DESC;The Drake's Cult followers are mostly Orogs who would follow The Drake's every command, believing him to be a god, they would plunder and pillage in his name.;;;;;;;;;;;;;x
Haelyn;Haelyn;;;;;;;;;;;;;x
Haelyn_DESC;Haelyn is the lord of justice, chivalry and righteous war - and the patron of the Anuirean people. He is the paragon of kings and paladins, and is worshipped throughout Cerilia by those seeking order through law. In his role as lord of justice, Haelyn is stern, but tempers his judgements with mercy.;;;;;;;;;;;;;x
Cuiraecen;Cuiraécen;;;;;;;;;;;;;x
