#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTC70000;This is below me;C'est au-dessous de mon niveau.;;;Está por debajo de mi nivel.;;;;;;;;;x
TOURNAMENTTITLE2;Tourney of [From.Capital.GetName];Tournoi de [From.Capital.GetName];;;Torneo de [From.Capital.GetName];;;;;;;;;x
TOURNAMENTTITLE3;Tourney of [Root.Capital.GetName];Tournoi de [Root.Capital.GetName];;;Torneo de [Root.Capital.GetName];;;;;;;;;x
hold_a_epic_tournament_LP;Hold a Grand Tourney of [Root.Capital.GetName];Organiser un Grand Tournoi à [Root.Capital.GetName];;;Organizar un Gran Torneo en [Root.Capital.GetName];;;;;;;;;x
hold_a_epic_tournament_LP_desc;Let us hold a tournament the like of which is only rumoured. All Knights and Lords of the realm will gather at [Root.Capital.GetName];Permettez-nous d'organiser un tournoi comme nul pareil. Tous les Chevaliers et les Seigneurs du Royaume se rassembleront à [Root.Capital.GetName].;;;Organizaremos un Torneo que será recordado hasta el fin de los dias.  Todos los caballeros y Lords del Reino se daran cita en [Root.Capital.GetName];;;;;;;;;x
hold_a_epic_tournament_high_lord;Hold a regional Tourney;Organiser un Tournoi Régional;;;Organizar un Toreno Regional;;;;;;;;;x
hold_a_epic_tournament_high_lord_desc;Let us hold a jousting tournament for the Knights and Lords of our region in [Root.Capital.GetName];Permettez-nous d'organiser une joute pour les Chevaliers et Seigneurs de notre région à [Root.Capital.GetName].;;;Organizaremos un Torneo en el que se daran cita los caballeros y Lords de la región en [Root.Capital.GetName];;;;;;;;;x
tournament_invite_1;Let all Knights and Lords of the region be invited;Permettez à tous les Chevaliers et Seigneurs de la région d'être invités.;;;Permite que todos los caballeros y Lords de la región sean invitados;;;;;;;;;x
hold_a_epic_tournament_lord;Hold a local Tourney;Organiser un Tournoi Local;;;Organizar un Torneo Local;;;;;;;;;x
hold_a_epic_tournament_lord_desc;Let us hold a small tournament for local Knights and Lords in [Root.Capital.GetName];Permettez-nous d'organiser un tournoi pour les Chevaliers et les Lords des environs à [Root.Capital.GetName].;;;Organizaremos un Torneo en el que se daran cita los caballero y Lords locales;;;;;;;;;x
tournament_invite_2;Let all local Knights and Lords be invited;Permettez à tous les Chevaliers et Seigneurs des environs d'être invités.;;;Permite que todos los caballeros y Lords locales sean invitados;;;;;;;;;x
grand_tourny_1st_1;Grand tourney wins: 1;Victoires Grand Tournoi: 1;;;Victorias en Gran Torneo: 1;;;;;;;;;x
grand_tourny_1st_2;Grand tourney wins: 2;Victoires Grand Tournoi: 2;;;Victorias en Gran Torneo: 2;;;;;;;;;x
grand_tourny_1st_3;Grand tourney wins: 3;Victoires Grand Tournoi: 3;;;Victorias en Gran Torneo: 3;;;;;;;;;x
grand_tourny_1st_4;Grand tourney wins: 4;Victoires Grand Tournoi: 4;;;Victorias en Gran Torneo: 4;;;;;;;;;x
grand_tourny_1st_5;Grand tourney wins: 5+;Victoires Grand Tournoi: 5+;;;Victorias en Gran Torneo: 5+;;;;;;;;;x
grand_tourny_2nd_1;Grand tourney second places: 1;Secondes places Grand Tournoi: 1;;;Segundas plazas en Gran Torneo: 1;;;;;;;;;x
grand_tourny_2nd_2;Grand tourney second places: 2;Secondes places Grand Tournoi: 2;;;Segundas plazas en Gran Torneo: 2;;;;;;;;;x
grand_tourny_2nd_3;Grand tourney second places: 3;Secondes places Grand Tournoi: 3;;;Segundas plazas en Gran Torneo: 3;;;;;;;;;x
grand_tourny_2nd_4;Grand tourney second places: 4;Secondes places Grand Tournoi: 4;;;Segundas plazas en Gran Torneo: 4;;;;;;;;;x
grand_tourny_2nd_5;Grand tourney second places: 5+;Secondes places Grand Tournoi: 5+;;;Segundas plazas en Gran Torneo: 5+;;;;;;;;;x
grand_tourny_3rd_1;Grand tourney third places: 1;Troisièmes places Grand Tournoi: 1;;;Terceras plazas en Gran Torneo: 1;;;;;;;;;x
grand_tourny_3rd_2;Grand tourney third places: 2;Troisièmes places Grand Tournoi: 2;;;Terceras plazas en Gran Torneo: 2;;;;;;;;;x
grand_tourny_3rd_3;Grand tourney third places: 3;Troisièmes places Grand Tournoi: 3;;;Terceras plazas en Gran Torneo: 3;;;;;;;;;x
grand_tourny_3rd_4;Grand tourney third places: 4;Troisièmes places Grand Tournoi: 4;;;Terceras plazas en Gran Torneo: 4;;;;;;;;;x
grand_tourny_3rd_5;Grand tourney third places: 5+;Troisièmes places Grand Tournoi: 5+;;;Terceras plazas en Gran Torneo: 5+;;;;;;;;;x
normal_tourny_1st_1;Regional tourney wins: 1;Victoires Tournoi Régional: 1;;;Victorias en Torneo Regional: 1;;;;;;;;;x
normal_tourny_1st_2;Regional tourney wins: 2;Victoires Tournoi Régional: 2;;;Victorias en Torneo Regional: 2;;;;;;;;;x
normal_tourny_1st_3;Regional tourney wins: 3;Victoires Tournoi Régional: 3;;;Victorias en Torneo Regional: 3;;;;;;;;;x
normal_tourny_1st_4;Regional tourney wins: 4;Victoires Tournoi Régional: 4;;;Victorias en Torneo Regional: 4;;;;;;;;;x
normal_tourny_1st_5;Regional tourney wins: 5+;Victoires Tournoi Régional: 5+;;;Victorias en Torneo Regional: 5+;;;;;;;;;x
normal_tourny_2nd_1;Regional tourney second places: 1;Secondes places Tournoi Régional: 1;;;Segundas plazas en Torneo Regional: 1;;;;;;;;;x
normal_tourny_2nd_2;Regional tourney second places: 2;Secondes places Tournoi Régional: 2;;;Segundas plazas en Torneo Regional: 2;;;;;;;;;x
normal_tourny_2nd_3;Regional tourney second places: 3;Secondes places Tournoi Régional: 3;;;Segundas plazas en Torneo Regional: 3;;;;;;;;;x
normal_tourny_2nd_4;Regional tourney second places: 4;Secondes places Tournoi Régional: 4;;;Segundas plazas en Torneo Regional: 4;;;;;;;;;x
normal_tourny_2nd_5;Regional tourney second places: 5+;Secondes places Tournoi Régional: 5+;;;Segundas plazas en Torneo Regional: 5+;;;;;;;;;x
normal_tourny_3rd_1;Regional tourney third places: 1;Troisèmes places Tournoi Régional: 1;;;Terceras plazas en Torneo Regional: 1;;;;;;;;;x
normal_tourny_3rd_2;Regional tourney third places: 2;Troisèmes places Tournoi Régional: 2;;;Terceras plazas en Torneo Regional: 2;;;;;;;;;x
normal_tourny_3rd_3;Regional tourney third places: 3;Troisèmes places Tournoi Régional: 3;;;Terceras plazas en Torneo Regional: 3;;;;;;;;;x
normal_tourny_3rd_4;Regional tourney third places: 4;Troisèmes places Tournoi Régional: 4;;;Terceras plazas en Torneo Regional: 4;;;;;;;;;x
normal_tourny_3rd_5;Regional tourney third places: 5+;Troisèmes places Tournoi Régional: 5+;;;Terceras plazas en Torneo Regional: 5+;;;;;;;;;x
small_tourny_1st_1;Small tourney wins: 1;Victoires Petit Tournoi: 1;;;Victorias en Pequeño Torneo: 1;;;;;;;;;x
small_tourny_1st_2;Small tourney wins: 2;Victoires Petit Tournoi: 2;;;Victorias en Pequeño Torneo: 2;;;;;;;;;x
small_tourny_1st_3;Small tourney wins: 3;Victoires Petit Tournoi: 3;;;Victorias en Pequeño Torneo: 3;;;;;;;;;x
