escaped_siege;Escaped from a siege;RéchappEd'un siège;;;EscapEdel asedio;;;;;;;;;;x
left_at_siege;Kept in the Castle;EnfermEdans le château;;;Mantenido en el castillo;;;;;;;;;;x
left_to_rot;Left to rot in prison;LaissEpourrir en prison;;;Dejar pudrirse en prisión;;;;;;;;;;x
death_escape;Died attempting a daring escape;Mort en tentant de s'évader;;;MuriEintentando una audaz fuga;;;;;;;;;;x
left_behind;Left behind at siege;LaissEpour compte lors du siège;;;Abandonado en un asedio;;;;;;;;;;x
stalwart_defender;Stalwart Defender;Fidèle Défenseur;;;Defensor incondicional;;;;;;;;;;x
modifier_hidden;Hidden in countryside;CachEdans la campagne;;;Escondido en el campo;;;;;;;;;;x
joined_war_against_me;Joined War Against Me;A rejoint une guerre contre moi;;;SumEa una guerra en mi contra;;;;;;;;;;x
stolen_banner;Captured Banner;Bannière capturée;;;Estandarte robado;;;;;;;;;;x
liberated;Liberated from occupation;LibérEde l'occupation;;;Liberado de ocupación;;;;;;;;;;x
EVTDESCSIEGECAPTURE;[Root.GetBestName] was captured by [From.GetBestName] while trying to flee the castle!;[Root.GetBestName] a étEcapturEe) par [From.GetBestName] durant sa tentative d'évasion !;[Root.GetBestName] wurde in der Schlacht von [From.GetBestName] gefangengenommen!;;¡[Root.GetBestName] fue capturado en combate por [From.GetBestName]!;;;;;;;;;x;x
EVTDESCCAPTUREENEMYSIEGE;[From.GetBestName] was captured after the siege and is now my prisoner!;[From.GetBestName] a étEcapturEe) après le siège. C’est désormais mon(ma) prisonnier(ière) !;[From.GetBestName] wurde in der Schlacht gefangengenommen und ist nun mein Gefangener!;;¡[From.GetBestName] fue capturado en combate y ahora es mi prisionero!;;;;;;;;;x;x
EVTDESCbattlewin001;You can add this to the list of my accomplishments.;Vous pouvez l'ajouter Ela liste de mes exploits.;;;Puede añadir esto a mi lista de logros;;;;;x;;;;;x
EVTDESCsiegewin001;You can add this to the list of my accomplishments.;Vous pouvez l'ajouter Ela liste de mes exploits.;;;Puede añadir esto a mi lista de logros;;;;;x;;;;;x
EVTDESCsiegeescape01;[ROOT.GetBestName]! The castle could fall any day now, we must make preparations...;[ROOT.GetBestName] ! Le château pourrait tomber d'un jour El'autre, nous devons nous y préparerE;;;¡[ROOT.GetBestName]! El castillo puede caer en cualquier dú}, debemos hacer los preparativos;;;;;;;;;;x
EVTOPTAsiegeescape1;Flee the castle via secret underground tunnel...;S'échapper du château grâce Eun tunnel secretE;;Escapar del castillo por túneles subterráneos secretos;;;;;;;;;;x
EVTOPTAsiegeescape2;place;place;;;sitio;;;;;;;;;;x
EVTDESCsiegewin01;[Root.PrimaryTitle.GetFOA], we've rounded up everybody we could find. What should we do with them?;[Root.PrimaryTitle.GetFOA], nous avons regroupEtoutes les personnes que nous avons trouvE Que devons-nous faire avec eux ? ;;;[Root.PrimaryTitle.GetFOA], hemos redondeado a todo el mundo que pudimos encontrar. ¿QuEdebemos hacer ahora?;;;;;;;;;;x
EVTOPTAsiegewin1;Clap their leader in irons and leave the rest here.;Mettez le chef aux fers et laissez les autres ici.;;;Encadenar a su lúer y dejar a los demás.;;;;;;;;;;x
EVTOPTAsiegewin2;Imprison the entire family.;Saisissez-vous de lui et de toute sa famille.;;;Encadenar a toda la familia.;;;;;;;;;;x
EVTOPTAsiegewin3;These people are useless, leave them be.;Ces gens nous sont inutiles, laissez-les partir.;;;Esas personas no sirven, déjenlas.;;;;;;;;;;x
EVTOPTAsiegewin4;Their leader is no where to be found, [Root.PrimaryTitle.GetFOA].  Shall we ask their family along with us?;Nous n'arrivons pas Ele trouver, [Root.PrimaryTitle.GetFOA]. Devons-nous demander Esa famille de venir avec nous?;;;Su lúer no se encuentra, [Root.PrimaryTitle.GetFOA]. ¿Deberú}mos traer a la familia con nosotros?;;;;;;;;;;x
EVTOPTAsiegewin5;Let them all go, I'm feeling merciful today.;Laissez-les partir, je me sens d'humeur miséricordieuse aujourd'hui.;;;Déjalos ir, me siento misericoridoso hoy.;;;;;;;;;;x
EVTDESCsiegeprestige;[Root.PrimaryTitle.GetFOA], the keep has fallen!;La tour est tombée, messire !;;;[Root.PrimaryTitle.GetFOA], el castillo ha caúo.;;;;;;;;;;x
EVTTOOLTIPenemynothere;If the enemy is not defending, this does nothing.;Si l'ennemi ne se défend pas, cela ne vaut rien.;;;Si el enemigo no estEdefendiendo, esto no hace nada.;;;;;;;;;;x
EVTOPTAsiegewinprestige;My name will live for ever!;Mon nom vivra pour l'éternitE!;;;¡Mi nombre vivirEpara siempre!;;;;;;;;;;x
EVTOPTAsiegewinbanner;Another banner to hang proudly in my hall.;Une autre bannière Eaccrocher fièrement dans ma grande salle.;;;Otro estandarte para colgar orgullosamente en mi salón.;;;;;;;;;;x
EVTDESCsiegenoenemy;[Root.PrimaryTitle.GetFOA], their leader is not here...;[Root.PrimaryTitle.GetFOA], il n'est pas là…;;;[Root.PrimaryTitle.GETFOA], su lúer no estEacE;;;;;;;;;;x
EVTOPTAnoenemy1;Leave them all be.;Laissez-les partir.;;;Déjalos ser.;;;;;;;;;;x
EVTOPTAnoenemy2;We will ask their family along with us, then.;Nous allons prendre sa famille avec nous dans ce cas.;;;Entonces, nos llevaremos a su familia con nosotros.;;;;;;;;;;x
EVTOPTAwaylitfriendlycapture;Liberated!;LibérE!;;;¡Liberado!;;;;;;;;;;x
EVTDESCWAYsearchdungeons;Yes, [Root.PrimaryTitle.GetFOA], we will search the dungeons at once!;Oui [Root.PrimaryTitle.GetFOA], nous allons nous rendre dans les cachots !;;;Si, [Root.PrimaryTitle.GetFOA], buscaremos en las mazmorras.;;;;;;;;;;x
EVTOPWAYprisonrelease01;Release all prisoners.;Relâchez tous les prisonniers.;;;Liberar todos los prisioneros.;;;;;;;;;;x
EVTOPWAYprisonrelease02;Release anybody with whom we have common cause.;Relâchez toutes les personnes qui soutiennent notre cause.;;;Liberar a cualquiera con el que tengamos causa en común.;;;;;;;;;;x
EVTOPWAYprisonrelease03;Release only my relatives. Some of these other fellows look like they are here for a good reason...;Relâchez seulement mes parents. Les autres semblent être ici pour de bonnes raisonsE;;Liberar solo a mis parientes. Algunos de los otros prisioneros parecen que tienen razones para estar aquE;;;;;;;;;;x
EVTOPWAYprisonrelease04;Whomever these people are, they smell like they belong here...;Qui que soient ces gens, il semble que leur place se trouvent iciE;;Quienesquiera que sean esas personas, huelen como si pertenecieran aquE;;;;;;;;;;x
EVTDESCWAYsiegepulseflee;[Root.PrimaryTitle.GetFOA], an enemy host approaches intent on encicling the castle.  What shall we do?;[Root.PrimaryTitle.GetFOA], une armée ennemie approche avec l'intention d'encercler le château. Que devons-nous faire ?;;;[Root.PrimaryTitle.GetFOA], una horda enemiga se acerca con la intención de asediar el castillo.;;;;;;;;;;x
EVTNAMEWAYsiegepulseflee;Fight or Flee?;Faut-il se battre ou fuir ?;;;¿Pelear o huú?;;;;;;;;;;x
EVTOPTWAYsiegepulseflee01;This castle is impregnable. We will be safest here.;Ce château est imprenable, nous serons plus en sécuritEici.;;;El castillo es impenetrable. Estaremos seguros aquE;;;;;;;;;;x
EVTOPTWAYsiegepulseflee02;Send my family into hiding, I cannot risk them being captured.;Envoyez ma famille se cacher. Je ne peux pas prendre le risque de les voir capturés.;;;Mandar a mi familia a esconderse, no puedo arriesgarme a que sean capturados.;;;;;;;;;;x
EVTOPTWAYsiegepulseflee03;I will take my family and hide until it is safe. You stay here to defend the keep...;Je vais prendre ma famille et la cacher jusqu'Ece que cela soit plus sûr. Vous autres, restez ici pour défendre le fortE;;Me llevarEa mi familia y nos esconderemos hasta que sea seguro. Ustedes se quedaran para defender el castillo.;;;;;;;;;;x
EVTNAMEWAYsiegeescape;An opportunity presents itself!;Une occasion se présente !;;;¡Se presenta una oportunidad!;;;;;;;;;;x
EVTDESCWAYsiegeescape;[Root.PrimaryTitle.GetFOA], the situation looks dire. If no relief comes soon you could fall into the hands of the enemy. The time to escape is now...we may not get another chance!;[Root.PrimaryTitle.GetFOA], la situation empire d'heure en heure. Sans arrivEde renforts, j'ai bien peur que vous ne tombiez entre les mains de nos ennemis. Nous devons nous échapper immédiatementEnous n'aurons peut-être pas d'autre autre chance !;;;[Root.PrimaryTitle.GetFOA], la situación parece grave. Si el alivio no llega pronto, podrú}s caer en las manos del enemigo. El momento de escapar es ahora, ¡podemos no tener otra oportunidad!;;;;;;;;;;x
EVTOPTWAYsiegesescapeattempt01;Slip out a postern door at midnight.;Vous échapper par la porterne Eminuit.;;;Salir por una puerta trasera a la medianoche.;;;;;;;;;;x
EVTOPTWAYsiegesescapeattempt02;Brave the sewers.;Passer par les égoûts.;;;Aventurarte en las alcantarillas.;;;;;;;;;;x
EVTOPTWAYsiegesescapeattempt03;Just give me a rope...;Donnez-moi juste une cordeE;;Sólo denme una cuerda.;;;;;;;;;;x
EVTOPTWAYsiegesescapeattempt04;I think it's better that we wait...I just hope we get another chance.;Je pense qu'il est préférable d'attendreEJ'espère seulement avoir une autre chance.;;;Es mejor que esperemos, a lo mejor podemos tener otra oportunidad.;;;;;;;;;;x
EVTDESCRWAYnotifyofcapture1;Just as I thought I had made it to freedom, a group of armed men appear under the banner of my foe. Exhausted from my escape, it is all I can do to croak the word 'yield.';Au moment même oEje pensais m'être échappE un groupe d'hommes armés et portant la bannière de mon ennemi apparait. EpuisEpar ma tentative d'évasion, j'ai Epeine la force de murmurer 'je me rends'.;;;Justo cuando pensEque alcanzarú} la libertad, un grupo de hombres armados aparecen bajo el estandarte de mi enemigo. Cansado por mi escape, todo lo que puedo hacer es graznar 'me rindo'.;;;;;;;;;;x
EVTDESCRWAYnotifyofcapture2;[Root.PrimaryTitle.GetFOA], we've caught the enemy commander sneaking out the castle!;[Root.PrimaryTitle.GetFOA], nous avons capturEle commandant ennemi alors qu'il tentait de s'échapper furtivement du château !;;;[Root.PrimaryTitle.GetFOA], ¡hemos encontrado al comandante enemigo escapándose del castillo!;;;;;;;;;;x
EVTNAMEWAYnotifyofoutcome;Escape Attempt;Tentative de fuite;;;Intento de escape;;;;;;;;;;x
EVTTOOLTIPsiegecapturedenemy;[Root.GetTitledName] is imprisoned by the enemy.;[Root.GetTitledName] est emprisonnEpar l'ennemi.;;;[Root.GetTitledName] fue aprisionado por el enemigo.;;;;;;;;;;x
EVTTOOLTIPsiegeescaped;[Root.GetTitledName] escapes to the countryside!;[Root.GetTitledName] a fuit dans la campagne ! ;;;¡[Root.GetTitledName] escapEal campo!;;;;;;;;;;x
EVTOPWAYsiegecapture01;Take them back to my castle dungeons immediately!;Ramenez-les dans les cachots de mon château ! Immédiatement !;;;¡Llévenlos a las mazmorras de mi castillo inmediatamente!;;;;;;;;;;x
EVTOPWAYsiegecapture02;Damn you all to hell!;Que les Sept Enfers vous emportent !;;;¡Que ardan en los Siete Infiernos!;;;;;;;;;;x
EVTDESCRWAYnotifyofescape01;In the dead of night, as a low mist hung about the curtain wall, you creep out a postern door and float across the moat on an inflated sheepskin. It's only by the ineptitude of the enemy watch that you stagger, dripping wet, through the siege lines and to the safety of a nearby wood. Thanks be to God! ... Although any family left behind is likely angry with us...;Au cœur de la nuit, alors que la brume envahit les courtines, vous vous faufilez jusqu'Ela poterne et rampez jusqu'aux douves que vous traversez, flottant sur une peau de mouton. L'incompétence des gardes ennemis vous permet de traverser silencieusement les lignes de siège et de gagner la sécuritEdu couvert du bois. Bénis soient les dieux... même si les membres de votre famille laissés derrière risque de vous en vouloir. ;;;En la oscuridad de la noche, como un cortina de niebla sobre el muro, te arrastras a través de un postigo y flotas sobre el pozo en una capa de piel de oveja inflada. Es solo por la ineptitud de la guardia enemiga que tu pasas tambaleando, empapado, a través de las lú‹eas de asedio enemigas y llegas a la seguridad de un bosque cercano. ¡Gracias a los Dioses! ... Aunque cualquier familia que fue dejada detrás posiblemente estEenojada con nosotros...;;;;;;;;;;x
EVTDESCRWAYnotifyofescape02;Your steward leads you down into the store rooms to a passage you didn't even know existed. Beyond it, a dismal tunnel full of death and decay, and you are only too glad to reach the moat and relatively fresh water. I hope I never have to do that again! It only now occurs to me that any family left behind is likely angry with me for leaving them in the hands of the enemy.;Votre intendant vous conduit jusqu'aux réserves dans les sous-sols du château. Il vous montre un passage dont vous n'imaginiez même pas l'existence. Laissant derrière vous l'intendant, vous vous faufilez dans l'étroit tunnel sombre. Le cheminement est difficile, vous devez souvent ramper dans la boue et les immondices. Au bout d'un moment vous finissez par déboucher sur les douves. L'eau fraû€he est une bénédiction après un tel enfer, vous vous laissez dériver jusqu'Eun petit bois oEvous êtes désormais en sécuritE Alors que vous sortez de l'eau, mouillEet crottE vous vous rendez soudainement compte que les membres de votre famille restés dans le château n'apprécieront pas que vous les ayez laissés aux mains de l'ennemi.;;;Tu mayordomo te guú} abajo desde el almacén hasta un pasaje que no sabú}s que existú}. Detrás de eso, un disgustante túnel lleno de muerte y decadencia, y tu eres el único encantado de alcanzar el foso y su agua relativamente fresca. ¡Espero nunca tener que hacer eso de nuevo! Solamente ahora me viene a la cabeza que cualquier familia que fue dejada detrás estEprobablemente enojada conmigo por haberlas dejado en las manos del enemigo.;;;;;;;;;;x
EVTDESCRWAYnotifyofescape03;They said only a lunatic would attempt climbing down the southeast wall, and certainly the enemy agreed! A near thing, too, when my foot slipped on that patch of moss. My brush with death over with, and safety assured, it only now occurs to me that any family left behind will see this as a desertion, not a bold deed of heroism...;Ils disaient que seul un fou tenterait de descendre par le mur sud. Vos ennemis devaient en penser autant, puisqu'aucun d'entre eux ne vous attend au bas du mur. Alors que vous enlevez la corde avec laquelle vous êtes descendu en rappel, vous vous rendez compte que les membres de famille que vous avez laissEderrière vous verront lEnon pas un acte de bravoure mais une vulgaire désertion... ;;;Dicen que solo un lunático podrú} intentar bajar el muro sureste, ¡y ciertamente el enemigo estEde acuerdo! Cuando mi pie se resbalEen ese pedazo de musgo, con mi cercano encuentro con la muerte habú} pasado y la seguridad estaba asegurada, sólo se me ocurriEpensar que las familias dejadas atrás pensarú}n que esto es deseción y no un audaz acto de heroúmo.;;;;;;;;;;x
EVTTOOLWAYfamilyhatesyou;is imprisoned by the enemy and any family members left behind in the castle aren't too happy about it.;est emprisonnEpar l'ennemi et tous les membres de sa famille restés dans le château n'apprécie guère sa tentative d'évasion.;;;es aprisionado por el enemigo y cualquier miembro de la familia dejado atrás en el castillo no estEmuy contento con esto.;;;;;;;;;;x
EVTDESCswapletterenemy;[FROM.GetTitledName] would like to arrange a prisoner exchange.;[FROM.GetTitledName] voudrait organiser un échange de prisonnier. ;;;[FROM.GetTitledName] quire hacer un intercambio de prisioneros.;;;;;;;;;;x
EVTDESCswapletterroot;[Root.PrimaryTitle.GetFOA], shall we send letters out requesting a meet for prisoner exchange?;[Root.PrimaryTitle.GetFOA], devons-nous envoyer un message demandant une entrevue pour l'échange de prisonniers ?;;;[Root.PrimaryTitle.GetFOA], ¿deberú}mos enviar cartas con nuestra petición por un encuentro para intercambiar prisioneros?;;;;;;;;;;x
EVTDESCswapletteraccept;The prisoner exchange has been accepted!;L'échange de prisonniers a étEacceptE!;;;¡El intercambio de prisioneros ha sido aceptado!;;;;;;;;;;x
EVTNAMEWAYprisonerswap;Prisoner Exchange;Echange de prisonniers;;;Intercambio de prisioneros;;;;;;;;;;x
arrange_prisoner_swap;Arrange an exchange of hostages;Organiser un échange d'otages;;;Organizar un intercambio de rehenes.;;;;;;;;;;x
arrange_prisoner_swap_desc;Arrange an exchange of hostages;Organiser un échange d'otages;;;Organizar un intercambio de rehenes.;;;;;;;;;;x
EVTDESCswapletterprisoner;Your guard lets it slip that there may be a prisoner exchange soon...;Votre geôlier vous laisse entendre qu'il pourrait y avoir bientôt un échange de prisonniers...;;;Tu guardia suelta que tal vez haya un intercambio de prisioneros pronto...;;;;;;;;;;x
EVTOPWAYswap3op1;Exchange all noble prisoners.;Echanger tous les prisonniers nobles.;;;Intercambiar todos los prisioneros nobles.;;;;;;;;;;x
bring_out_of_hiding;Call Court out of Hiding;Demander aux membres de votre cour de sortir de leur cachette;;;Traer a la familia del escondite.;;;;;;;;;;x
bring_out_of_hiding_desc;The war is over, our castle is now safe. It is time to call my family and my court out of hiding.;La guerre est terminée, notre château est désormais un endroit sûr. Il est temps de demander Ema famille et Ema cour de sortir de leur cachette.;;;La guerra terminE el castillo ahora es seguro. Es tiempo de traer a mi familia del escondite.;;;;;;;;;;x
request_important_prisoners;Demand Important Prisoners;Demander leurs prisonniers importants Evos vassaux;;;Demandar prisioneros importantes de vasallos.;;;;;;;;;;x
